Tweet;label;Tweet_Parsed_1;Tweet_Parsed_2;Tweet_Parsed_3;Tweet_Parsed_4
Iphone 11 pun menarik;general positif;Iphone 11 pun menarik;iphone 11 pun menarik;iphone 11 pun menarik;iphone 11 pun menarik
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;harga negatif,general positif;Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.    Ã¢â¬Â¦;tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. conclusionnya, mahal.    ã¢â¬â¦;tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro harga iphone 12 x wajar compared dgn iphone 11 conclusionnya mahal ;tidak murah karena iphone 12 layar sama besar dengan iphone 11 pro harga iphone 12 x wajar dibanding dengan iphone 11 kesimpulan mahal 
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";general positif;ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ  beliin ya Allah;ya allah iphone 11 warna ungu lucuu ã°å¸ëâ  beliin ya allah;ya allah iphone 11 warna ungu lucuu beliin ya allah;ya allah iphone 11 warna ungu bagus beli ya allah
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif;tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt  ;tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae ã°å¸ââ±ã°å¸âå #btsarmy #2020btsfesta @bts_twt  ;tahun kemarin pas iphone 11 rilis mata langsung tertuju sama warnanya ada warna ungu naksir berat dong kapan lagi produk apple yang ngeluarin warna ungu alhamdulillah beberapa bulan kemudian kesampean beli hp borahae btsarmy 2020btsfesta bts twt ;tahun kemarin  saat iphone 11 rilis mata langsung tertuju sama warnanya ada warna ungu tertarik berat dong kapan lagi produk apple yang mengeluarkan warna ungu alhamdulillah beberapa bulan kemudian terwujud beli iphone baru btsarmy 2020btsfesta bts twt 
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,spesifikasi positif,baterai positif;selepas sebulan menggunakan Iphone 11, i can say :  1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman  2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth  3. bateri tahan 1 hari dan lebih;selepas sebulan menggunakan iphone 11, i can say :  1. a13 bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman  2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth  3. bateri tahan 1 hari dan lebih;selepas sebulan menggunakan iphone 11 i can say 1 a13 bionic cip prosessor sangat smooth melancarkan segala perisian dalaman 2 kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth 3 bateri tahan 1 hari dan lebih;selain sebulan menggunakan iphone 11 i can mengatakan 1 a13 bionic chipset prosessor sangat halus melancarkan segala perisian dalaman 2 kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat seimbang dan halus 3 baterai tahan 1 hari dan lebih
Iphone 11 terbaik;general positif;Iphone 11 terbaik;iphone 11 terbaik;iphone 11 terbaik;iphone 11 terbaik
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;baterai negatif;Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram    Ã¢â¬Â¦;like bodo sia iphone 11 battery capacity cepat gila drop. aku geram    ã¢â¬â¦;like bodo sia iphone 11 battery capacity cepat gila drop aku geram ;suka bodoh kamu iphone 11 baterai kapasitas cepat sekali turun aku marah 
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;general positif;Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. kaya gemesh gitu. udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. tapi seketika sadar, masih ada yang lain yg di prioritasin ã°å¸ëâ¦;sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green kaya gemesh gitu udah melipir ke ibox dan eraphone 2 apa 3 kali gitu dan udah nanya2 hampir beli tapi seketika sadar masih ada yang lain yg di prioritasin ;sebenarnya  menginginkan bangeettt22222 ganti iphone 11 hanya karena ada warna mint hijau kaya bagus begitu udah pergi ke ibox dan eraphone 2 apa 3 sekali begitu dan udah nanya2 hampir beli tapi seketika sadar masih ada yang lain yang di prioritasin 
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;general positif,harga negatif;Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;saya suka iphone11 pro. tapi tak mampu. oleh itu alang2 saya tunggu iphone12, harap2 ada rezeki. ã°å¸ëâ;saya suka iphone11 pro tapi tak mampu oleh itu alang2 saya tunggu iphone12 harap2 ada rezeki ;saya suka iphone11 pro tapi tidak mampu oleh itu alang2 saya tunggu iphone12 harap2 ada rezeki 
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif;Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;ha mai amik aku lu. sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh hd;ha mai amik aku lu sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh hd;ha mai amik aku kamu karena dengan iphone 11 ini aku mampu merekam video kepala dengan penuh hd
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif;worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;worth parah sihh sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2 kalo mau milih tuh harusnya antara xs xs max sama iphone 11 nah itu baru pilihan susah ;sebanding parah sihh sayang aja begitu beli xr kameranya cuman 1 walau hasilnya bagus sekali tidak muluk2 kalau mau milih tuh harusnya antara xs xs max sama iphone 11 nah itu baru pilihan susah 
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif;Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;quick charge tu fast charging ko? iphone 11 ni fast charging tapi keno beli usb hok support fast charging. and guno phone sambil charge dok molek kei;quick charge tu fast charging ko iphone 11 ni fast charging tapi keno beli usb hok support fast charging and guno phone sambil charge dok molek kei;cepat charge itu cepat charger ko iphone 11 ini cepat charger tapi keno beli usb hok mendukung cepat charger dan berguna iphone sambil charge dok molek kei
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi positif;iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;iphone 11 karena iphone 11 lebih terbaru daripada iph xs max and dari spek juga bagusan iph 11;iphone 11 karena iphone 11 lebih terbaru daripada iphone xs max dan dari spek juga bagusan iphone 11
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif;Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu... Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£;emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu... btw aku salfok sama caption nya sih ã°å¸â¤â£;emang iphone11 ini lucu2 warnanya yg lavender juga lucuu btw aku salfok sama caption nya sih ;memang iphone11 ini lucu2 warnanya yang ungu juga bagus btw aku salah fokus sama judul nya sih 
Iphone 11 aja yg purple lucu bgt :(;general positif;Iphone 11 aja yg purple lucu bgt :(;iphone 11 aja yg purple lucu bgt :(;iphone 11 aja yg purple lucu bgt ;iphone 11 aja yang ungu bagus sekali 
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";harga negatif;Kelanjutan dari Zan gapunya iphone... (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ   ;kelanjutan dari zan gapunya iphone... (buat testing app) pngn punya iphone (11) tp boros bgt belinya mahal and then god gives me (better alternative bcs its free) in a unexpected way. iya iya punya kantor trs bukan tipe baru tp seneng~ makasi bosku & universe ã°å¸ââ¹ã°å¸ââ¹ã°å¸ââ¹ ã°å¸ëâ   ;kelanjutan dari zan gapunya iphone buat testing app pngn punya iphone 11 tp boros bgt belinya mahal and then god gives me better alternative bcs its free in a unexpected way iya iya punya kantor trs bukan tipe baru tp seneng makasi bosku universe ;kelanjutan dari zan gapunya iphone buat percobaan aplikasi ingin punya iphone 11 tapi boros sekali belinya mahal dan then bagus memberi saya lebih baik alternatif karena its gratis in a tidak menyangka way iya iya punya kantor kemudian bukan tipe baru tapi seneng makasi bosku dunia 
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif;Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;aku suka batery iphone 11 walaupon capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;aku suka baterai iphone 11 walaupun kapasitas baterai nya hanya 3000mhw tapi penampilan nya lebih baik daripada smartfone android yang berkapasiti 3000mhw satu karena saya tidak suka pakai android karena baterai nya selalu baterai turun mendadak
wowowoowow iphone iphone iphone 11 pro;general positif;wowowoowow iphone iphone iphone 11 pro;wowowoowow iphone iphone iphone 11 pro;wowowoowow iphone iphone iphone 11 pro;wow iphone iphone iphone 11 pro
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kamera positif;aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;aku dl samsung note 10 trs ke iphone 11 beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih kl ip agak ribet di save datanya gt mnrtku tp sukanya krn kalo update lbh jelas andro sebagus apapun kl update ga se clear ip heu;aku dulu samsung note 10 kemudian ke iphone 11 beralih ke iphone jadi lebih suka karena kamera lebih jelas dan bagus sih kalau iphone agak ribet di simpan datanya begitu menurutku tapi sukanya karena kalau perbarui lebih jelas android sebagus apapun kalau perbarui tidak se bersih iphone heu
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";spesifikasi positif,general positif;- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...  - s20+ bts edition karena bts dan warna CASING NYA BAGUS;- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...  - s20+ bts edition karena bts dan warna casing nya bagus; iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama dan simple untuk casual phone but might be weird since you were an android ke iphone s20 bts edition karena bts dan warna casing nya bagus; iphone 11 pro karena kapasitas memori besar 256gb jadi bisa untuk jangka lama dan sederhana untuk santai iphone but mungkin be aneh sejak you were an android ke iphone s20 bts edisi karena bts dan warna casing nya bagus
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif;Suaranya kek announcer sumpah dah.  Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.;suaranya kek announcer sumpah dah.  btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.;suaranya kek announcer sumpah dah btw mic iphone 11 clear banget bajingan jadi pengen beli tapi nga ada duitnya hahaha ;suaranya seperti pengumuman sumpah dah btw mic iphone 11 bersih sekali bajingan jadi  menginginkan beli tapi nga ada duitnya hahaha 
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;iphone 11 purple cinta bgt sama.purple bagus cantik indah bgt ã°å¸ëâ­ã°å¸ëâ­ã°å¸ëâ­;iphone 11 purple cinta bgt sama purple bagus cantik indah bgt ;iphone 11 ungu cinta sekali sama ungu bagus cantik indah sekali 
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus chipsetnya juga lebih oke dr iphone xs max;iphone 11 sih karena lebih  saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari iphone xs max
iPhone 11 Pro Max irit kok.;baterai positif;iPhone 11 Pro Max irit kok.;iphone 11 pro max irit kok.;iphone 11 pro max irit kok ;iphone 11 pro max irit kok 
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif;Yaampuuun udah 87% aja setelah pake iphone 2 tahun.  ios 13 bangke ini siiih.  Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ   ;yaampuuun udah 87% aja setelah pake iphone 2 tahun.  ios 13 bangke ini siiih.  mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek ã°å¸ëâ   ;yaampuuun udah 87 aja setelah pake iphone 2 tahun ios 13 bangke ini siiih mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek ;yaampuuun udah 87 aja setelah menggunakan iphone 2 tahun ios 13 jelek ini siiih mau ganti iphone 11 tapi takut kalau tidak sengaja tertukar sama adek 
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;general negatif,kamera negatif,spesifikasi positif;Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;leaks iphone 12, ukurannya lebih kecil daripada iphone 8 / se (new) tapi kamera seri pronya boi, guede banget iphone 11 pro kameranya keliatan kecil. ga ada power adapter sama earpod, cuma dapet kabelnya doang. plus apple chip a14 is like 3-5 times better than the currrent a13;leaks iphone 12 ukurannya lebih kecil daripada iphone 8 se new tapi kamera seri pronya boi guede banget iphone 11 pro kameranya keliatan kecil ga ada power adapter sama earpod cuma dapet kabelnya doang plus apple chip a14 is like 3 5 times better than the currrent a13;leaks iphone 12 ukurannya lebih kecil daripada iphone 8 se baru tapi kamera seri pronya boi besar sekali iphone 11 pro kameranya keliatan kecil tidak ada power adapter sama earpod cuma dapet kabelnya doang plus apple chip a14 is suka 3 5 times lebih baik than the currrent a13
Iphone 11 lh, battery dia tahan sikit;baterai positif;Iphone 11 lh, battery dia tahan sikit;iphone 11 lh, battery dia tahan sikit;iphone 11 lh battery dia tahan sikit;iphone 11 lh baterai dia tahan sedikit
