Tweet;label;Tweet_Parsed
Iphone 11 pun menarik;general positif;menarik
Tidak murah sbb iphone 12 skrin sama besar dgn iphone 11 pro. harga iphone 12 x wajar compared dgn iphone 11. Conclusionnya, mahal.  https://twitter.com/xaviernaxa/status/1280661321323700225ÃÂ Ã¢â¬Â¦;harga negatif,general positif;tidak murah layar besar harga wajar dibanding kesimpulan mahal
"ya Allah iphone 11 warna ungu lucuu Ã°Å¸ËÂ 
beliin ya Allah";general positif;warna ungu bagus beli
tahun kemarin pas iphone 11 rilis, mata langsung tertuju sama warnanya. ada warna ungu! naksir berat dong. kapan lagi produk apple yang ngeluarin warna ungu?? alhamdulillah beberapa bulan kemudian kesampean beli. hp borahae Ã°Å¸âÂ±Ã°Å¸âÅ #BTSARMY #2020BTSFESTA @BTS_twt pic.twitter.com/M4EIUknKvl;general positif;kemarin rilis mata langsung warnanya warna ungu tertarik berat produk mengeluarkan warna ungu alhamdulillah terwujud beli
"selepas sebulan menggunakan Iphone 11, i can say :

1. A13 Bionic cip prosessor sangat smooth. melancarkan segala perisian dalaman

2. kamera memang sangat cantik terutama untuk rakaman video dengan stabilization yang sangat padu dan smooth

3. bateri tahan 1 hari dan lebih";kamera positif,spesifikasi positif,baterai positif;sebulan bionic chipset prosessor sangat halus melancarkan perisian dalaman kamera sangat cantik rakaman video stabilization sangat seimbang halus baterai tahan lebih
Iphone 11 terbaik;general positif;terbaik
Like bodo sia iPhone 11 battery capacity cepat gila drop. Aku geram  https://twitter.com/hzqaimannn/status/1279079353708474370ÃÂ Ã¢â¬Â¦;baterai negatif;suka bodoh baterai kapasitas cepat sekali turun marah
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;general positif;bangeettt ganti hanya warna mint hijau kaya bagus udah pergi ibox eraphone sekali udah nanya hampir beli seketika sadar masih prioritasin
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;general positif,harga negatif;suka tidak mampu tunggu harap rezeki
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif;mampu merekam video kepala penuh hd
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif;sebanding parah sayang beli xr kameranya cuman walau hasilnya bagus sekali tidak muluk milih tuh harusnya pilihan susah
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif;cepat charge cepat charger cepat charger keno beli usb hok mendukung cepat charger berguna charge dok molek kei
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi positif;lebih terbaru spek bagusan
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif;lucu warnanya ungu bagus salah fokus judul
Iphone 11 aja yg purple lucu bgt :(;general positif;ungu bagus sekali
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";harga negatif;kelanjutan zan gapunya percobaan aplikasi ingin boros sekali belinya mahal bagus lebih baik alternatif gratis tidak menyangka iya iya kantor bukan tipe seneng makasi bosku dunia
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif;suka baterai walaupun kapasitas baterai hanya mhw penampilan lebih baik smartfone android berkapasiti mhw tidak suka pakai android baterai baterai turun mendadak
wowowoowow iphone iphone iphone 11 pro;general positif;wow
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kamera positif;samsung note beralih lebih suka kamera lebih jelas bagus agak ribet simpan datanya menurutku sukanya perbarui lebih jelas android sebagus apapun perbarui tidak bersih
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";spesifikasi positif,general positif;kapasitas memori besar gb bisa jangka lama sederhana santai aneh android edisi warna casing bagus
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif;suaranya pengumuman mic bersih sekali beli nga duitnya hahaha
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;ungu cinta sekali ungu bagus cantik indah sekali
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;lebih tangan kameranya tuh lebih bagus chipset lebih oke
iPhone 11 Pro Max irit kok.;baterai positif;irit
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif;udah ios jelek ganti takut tidak sengaja tertukar adek
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;general negatif,kamera negatif,spesifikasi positif;ukurannya lebih kecil kamera seri pronya besar sekali kameranya keliatan kecil tidak power adapter earpod cuma dapet kabelnya plus chip suka times lebih baik currrent
Iphone 11 lh, battery dia tahan sikit;baterai positif;baterai tahan sedikit
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kamera positif;walaupun hampir juta cuma android tidak dihargai kemaren waktu foto pilihan samsung ultimate dibilang kameranya cantik membicarakan samsung kameranya bagus sedih
dosenku iphone 11 ganti jd samsung s20 nder, brrti iphone bosenin wkwk;general negatif;dosenku ganti samsung membosankan
try pakai iphone 11 dulu bro, serius best camera dia huhu;kamera positif;coba pakai serius baik kamera
Knp iphone 11 aku tiba2 blank dekat sejam, smpai aku terpaksa letak dlm beras sbb dia blank dan phone jd panas lepas sejam letak dlm beras phone nyala lepastu battery habis padahal sblm padam tu battery full kot..adakah ini normal??;baterai negatif;mati sejam terpaksa letak beras mati panas sejam letak beras nyala baterai habis mati baterai full adakah normal
Iyaaa kan. Cakep banget iPhone 11 Pro & 11 Pro Max Ã°Å¸Â¤Â©;general positif;iya bagus sekali
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";spesifikasi negatif,kamera positif;heran memori cepat sekali abis suka video masak kadang ditengah masak memori abis bingung panik makanan bisa gagal liat kualitas videonya bener tidak bagus alus sekali canggih
android baterai nya tahan lama, iphone boros kcuali iphone 11;baterai positif;android baterai tahan lama boros kecuali
"@iphonefess halo sore ka, mau nanya nih. iPhone 11 Pro Max ku kemarin kehabisan baterai, terus aku charger eh jadi lama banget. Seharian cuma masuk sekitar 40%. Lambang charging nyala, n semua normal ngga panas. Kira2 apanya ka?
Tolong dibantu ya, tks Ã°Å";baterai negatif;iphonefess halo sore ka ku kemarin kehabisan baterai charger eh lama sekali seharian cuma masuk sekitar lambang charger nyala n normal ngga panas apanya ka dibantu terimakasih
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëâ   https://twitter.com/GamesMenfess/status/1274142447451295745ÃÂ Ã¢â¬Â¦;spesifikasi positif,general positif,baterai positif,general negatif;chipset kenceng layar besar baterai kuat resolusi layar rendah
"Iphone x max bagus kameranya iphone 11 jg bagus hehehe ...
Gua selfie pake hp itu cakep.

Tp gua selfie pake hp gua ini jele Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£";kamera positif;bagus kameranya bagus foto bagus foto jele
iphone 11 promax kamera bgus hp bgus;kamera positif;kamera bagus bagus
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;kamera positif,spesifikasi positif;go samsung android paham la developer aplikasi anak tirikan android anak emaskan walaupun flagship application optimization hardware tidak seoptimum story ig micro lag
pake iphone 11 kakak biar videonya makin cetar;kamera positif;kakak biar videonya makin cetar
belilah fast charging for Iphone 11 sbb 5 watt charger yang dibekalkan amatlah slow;baterai negatif;belilah cepat charger watt charger dimasukan sekali lambat
Kl aku pake seperlunya, buat medsos, foto, urusin online shop masih aman sih. Kualitas kamera jg bagus. Tp kl cari yg nilainya masih tinggi tahun2 ke depannya yaa iphone 11, kl ip x aja skrg 7 jt udh dapet.;kamera positif;media sosial foto urusin online shop masih aman kualitas kamera bagus cari nilainya masih tinggi depannya yaa jt udah dapet
yaallah tergoda iphone 11 warna biru. eh apase warna sebenere. pokok biru jareku;general positif;yaallah tergoda warna biru eh warna sebenere pokok biru suka
Haih cantiknya camera depan iphone 11 Ã°Å¸ËÅ;kamera positif;bagus kamera
"Beli iphone 11 kemaren niat nya cuman mau beli mouse buat laptop, trus iseng nanya Ã¢â¬Åini berapa bang? Yg warna itu? Ternyata dikasih 11 pro biasa kecil ga sadar.
2hari kmudian nanya ke salesnya Ã¢â¬Åkok kecil ku mau yg max brp? Ã¢â¬ÅYdh ambil silver 256gb.

Riyalife tamat.";general negatif;beli kemaren niat cuman beli mouse laptop iseng bang warna dikasih biasa kecil tidak sadar kmudian salesnya kecil ku yasudah ambil silver gb riyalife tamat
iPhone 11 yang warna ungu cakep kali:( blm move on Ã°Å¸Â¥Âº;general positif;warna ungu bagus sekali belum move hidup
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai positif;baterai mah dimasukan kapasitas baterai tidak mencapai mah ketahanan baterai seri tidak disangkal mampu bersaing huawei mate kapasitas baterai mah
IPHONE 11 GUE GAK BOLEH DIPAKE MAIN RP ANJRIT.;general negatif;gue tidak main rp
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104ÃÂ Ã¢â¬Â¦;baterai negatif;chargernya masih watt
"Sejak p10 sebenernya sdh gak kekejar sama iphone, tp sejak iphone 11 pro sptnya apple sdh mulai mau ngejar sih secara kualitas foto kalau dicetak.
Jeleknya kalau skrg jalan2 jadi males bawa kamera beneran, karena kamera hpku sdh pada bisa diandalkanÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸ËÂ";kamera positif;p tidak kekejar raih kualitas foto dicetak jeleknya jalan malas bawa kamera beneran kamera hpku bisa diandalkan
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃÂ  #LatestNews #OS #apple #iOS #iphone11;baterai negatif;perbarui ios pengguna keluhkan baterai turun latestnews os ios
Charge iphone 11 lambat nya minta ampooon Ã°Å¸Ëâ;baterai negatif;charge lambat ampun
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-ÃÂ Ã¢â¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;baterai positif,spesifikasi negatif,baterai negatif;meluncurkan peningkatan daya tahan baterai keluhkan perbarui ios kuras baterai ponsel
Iphone 11 warna mintÃ°Å¸ËÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;warna mint mohon sekali tidak ungu
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;baterai positif,spesifikasi positif;baterai bener lebih irit kenaikan perfoma
Pengen iphone 11 yg warna kuning;general positif;warna kuning
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;kamera positif;alasan harus beli jelas bukan karna gaya gayaan menunjang kerjaan sekali fitur potretnya suka gambar belum edit
IPHONE 11 PRO TU- MAHAL WEH-;harga negatif;mahal weh
Oh terus kalo iphone kameranya yang bisa selfie wide baru iphone 11, lu samsung aja biar kalo kita selfie bareng gampang WKWKWKWKWK;kamera positif;kameranya bisa foto wide samsung biar foto bareng gampang wkwkwkwkwk
Kabarnya #Apple akan membekali #iPhone 12 dengan baterai berkapasitas yang lebih besar dari iPhone 11 Pro Max.   https://www.tagar.id/iphone-12-akan-gendong-baterai-kapasitas-besar/?source=twitterÃÂ Ã¢â¬Â¦;baterai positif;kabarnya membekali baterai berkapasitas lebih besar
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸ËâÃ°Å¸Ëâ tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëâ¹Ã°Å¸Ëâ¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";kamera positif,baterai positif;cinematic video pengalaman unik video tidak persiapan baterai tinggal lumayan bisa nandingin miroles tidak alat bantu stabilizer video makemac shootoniphone
iphone 11 camera sampah haha kalau 11 pro, pro max okay. iphone bab video dia power, kalau bab gambar huawei power lagi.;kamera negatif;kamera sampah ok bab video power bab gambar huawei power
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;general negatif;multitasking halus layar uji masih tidak halus
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;baterai negatif,harga positif;pakai baterainya udah ngedrop sekali cuman tahan menit liat harga udah turun harus beli power bank
iphone 11 pro dipegang park haejin jadi kaya kecil bangett  pic.twitter.com/DLw5NdEgau;general negatif;dipegang park haejin kaya kecil sekali
iPhone 11 biar fotonya bagus *LXC*  https://twitter.com/oliviabyexxyx/status/1267809902661009411ÃÂ Ã¢â¬Â¦;kamera positif;biar fotonya bagus lxc
Beda market man, jelas. Iphone 11 bukan buat fanboy, ngincer user yg baru mau masuk atau naik ke touch id less tp ga mikirin kualitas bahan sih;general negatif;beda pasar man jelas bukan fanboy ngincer pengguna masuk touch id less tidak mikirin kualitas bahan
Ambil iphone 11. Saya baru tukar ke iphone SE dari Huawei P20. Battery agak mengecewakan tapi performance lain sangat superb.;baterai negatif;ambil tukar huawei p baterai agak mengecewakan penampilan sangat
Jd pengen iphone 11. Cakep banget gambarnya;kamera positif;bagus sekali gambarnya
Tergantung kebutuhan, tp kalo buat sehari2 ya pilih iphone 11 pro max ajah.;general positif;tergantung kebutuhan sehari pilih ajah
Aku merasa hpku mulai kehilangan ketajaman kameranya. Apakah ini tandanya buat upgrade?? Ya abis beda banget bandingin sm iPhone 11 punya ponakan, bening bener dah gambarnya.;kamera positif;hpku kehilangan ketajaman kameranya tandanya upgrade abis beda sekali bandingin ponakan bagus gambarnya
Iphone 11 yg ungu cute bgt astaga :');general positif;ungu cute sekali astaga
wah cantiknya camera iphone 11 Ã°Å¸âÂÃ°Å¸ââÃ°Å¸âÂ;kamera positif;wah bagus kamera
nak iphone 11 warna hijau tuÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;ingin warna hijau
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone";baterai positif;pengguna tidak suka ganti ganti baterai lebih awet
iphone 11 megapro ini selain kameranya apanya dah yang unggul? perasaan wa migrasi dari 7 ke x ga banyak kemajuan;kamera positif;megapro kameranya apanya unggul perasaan wa migrasi tidak kemajuan
kamera iphone 11 lebih jernih daripada mataku;kamera positif;kamera lebih jernih mataku
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â¬Ëno serviceÃ¢â¬â¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;spesifikasi negatif;assalam admin pakai pakai terbaru ios sehari sekali sekali line hilang muncul service sec ok coba solusi mendukung admin xaviernaxa
"Ampe ntar android jg kebagian... 

Pembedanya nanti kualitas voice record nya aja.. iPhone 11 pro dan max emang cakep hasil record nya";general positif;ampe ntar android kebagian pembedanya kualitas voice record bagus hasil record
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;general negatif;multitasking halus layar uji masih tidak halus
Iyaaa iPhone 11 Purple & Green emang paling favorit sih. Cakep banget warnanya, kak Ã°Å¸Â¥Â°Ã°Å¸Â¤Â©;general positif;iya ungu hijau favorit bagus sekali warnanya kak
Worth it bgt ni iphone11, nonton youtube puas bgt serasa nonton d tipi. Quality gambar ama speakernya bagus bgttt Ã°Å¸Ëâ Ã°Å¸Ëâ Ã°Å¸Ëâ ;general positif,kamera positif;sebanding sekali nonton youtube puas sekali serasa nonton tipi kualitas gambar speakernya bagus sekali
Iphone 11 kameranya gaada obat;kamera positif;kameranya tidak lawan
Baru iphone 11 keatas yg ada pake slowmo di kamera depan;kamera positif;keatas slowmo kamera
Iphone 11 pro max ccd banget ngentot!!!!;general negatif;cacat sekali
Terus juga banyak yg blg iphone 11 itu kamera depannya kurang. Coba aja cari di youtube bnyak yg bahas.;kamera negatif;bicara kamera depannya kurang coba cari youtube bahas
Iphone 11 udah bagus kok batrenya, atau iphone XR awet batrenya;baterai positif;udah bagus baterai xr awet baterai
spesifikasi semuanya sih worth it sih tergantung kemampuan duit masing masing. Cuma kalau ngurusin kamera saat low-light mungkin iPhone 11 lebih baik.;kamera positif;spesifikasi sebanding tergantung kemampuan uang cuma ngurusin kamera kecil light lebih baik
Aku pengen iphone 11 minn biar makin cakeppp kalo mau foto produkÃ°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­ #ReaquestGAShopee;kamera positif;biar makin bagus foto produk reaquestgashopee
kamera IPHONE 11 KEREN PARAHHH;kamera positif;kamera keren sekali
WARNA BIRU BUAT SIS KELIRU Ã°Å¸Â¤Â¯ CANTIK KAN IPHONE 11 ? NAKKAN IPHONE YG harga MURAH N ORIGINAL ? BELI SEKARANG DI @waynegadgett . SELLER PERAMAH N BERKOMITED MEMASTIKAN IPHONE HAMPA CLEAR DARI SEBARANG VIRUSÃ¢ÂâÃ¢Ââ pic.twitter.com/evRYfyTuuM;general positif,harga positif;warna biru keliru cantik nakkan harga murah n original beli waynegadgett seller peramah n berkomited hampa bersih sebarang virus
Terbaik bro ! Apa apa pun iphone 11 mmg terbaik for midrange phone Ã°Å¸Ëâ;general positif;terbaik terbaik midrange
Fitur NFC di iPhone kini bisa digunakan untuk mengecek saldo hingga melakukan top-up e-money Bank Mandiri. #iPhone11 #NFC pic.twitter.com/ZHfVdQxkms;general positif;fitur nfc bisa mengecek saldo hingga top e money bank mandiri nfc
"Bagi memastikan rakan saya membuat pilihan yang tepat. Perkara utama yang harus difahami adalah iPhone 11 adalah model berkelas separa mercu dan iPhone XS mercu. 

Namun iPhone 11 mempunyai kelebihan dari segi cip A13 Bionic dan dilancarkan pada tahun 2019.";spesifikasi positif;rakan pilihan perkara utama harus difahami model berkelas separa mercu mercu kelebihan segi chipset bionic dilancarkan
"Pengen banget ganti iphone ke iphone 11 pro max

Tapi kok sayang banget duitnya yah keadaan masih kek gini..

Musti gimana yah biar bisa dapet pemasukan tambahan..?? Ada yang punya ide kah..?? Ã¢â¬â Buat bisnis  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM7CADDPY3R73OLBX7D7SLNZN62UYY2Z2JFREM2RZ3KK3PYEIBJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSXYKHYE3DKHNFMLBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ====ÃÂ Ã¢â¬Â¦";harga negatif;sekali ganti sayang sekali duitnya masih harus gimana biar bisa dapet pemasukan tambahan ide bisnis
"prefer iphone 11 sbb future proof, battery pun tahan sehari, ada 2 camera belakang, and chipset dia antara the best in the market

Ip X boleh je but banyak masalah sbb first model iphone yg fullscreen

ip xr pun ok tapi kekurangan, screen tak secantik ip 11 dan 1 camera belakang";spesifikasi positif,baterai positif,kamera positif,general negatif;prefer future proof baterai tahan sehari kamera chipset baik pasar je masalah model fullscreen xr ok kekurangan layar tidak cantik kamera
iphone 11 bagus yg purple apa yg tosca??,,plss bantu jawab Ã°Å¸ËÆÃ°Å¸Ëâ;general positif;bagus ungu tosca mohon bantu
iphone 11 cantik2 warnanyaÃ°Å¸Â¥Âº;general positif;cantik warnanya
Iphone 11 promax, soalnya keren banget apalagi warna warnanya menly;general positif;keren sekali warna warnanya kasual
Bjingan buka twitter di iphone 11 tapi di safarinya ya giniÃ°Å¸â¢â;general positif;buka twitter safarinya
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif;bagus ato samsung mirrorless malah tidak easy use ahaha
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";spesifikasi positif,kamera positif;berkemungkinan situasi spesifikasi terkini termasuklah layar oled menyokong telephoto berbanding menyokong kamera lebar ultra lebar
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;spesifikasi positif,kamera positif;mencadangkan faktor walaupun akui hadir chipset pemprosesan lebih memiliki berminat kamera ultra lebar
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif;tidak chip layar layar oled tidak led layar
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif;cute sekali pantes cewek cewek beli
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. kamera blkg sama2 12MP;baterai positif,kamera positif;saranku ajaa karna cuma perbaikan iphon xr kecuali baterai mah lebih besar ketimbah kamera menang kamera kamera mp
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif;kapasitas mah mah mah mah berdasarkan perbandingan mah lebih tinggi berbanding
iPhone 11 kok lemot;general negatif;lambat
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif;hopefully harga kurang tidak charger also peluang turunkan harga jimat possible harga lebih murah xr lebih baik
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;lebih tangan kameranya tuh lebih bagus chipset lebih oke
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;spesifikasi positif;lebih baik memori besar udah cukup sekali
