Tweet;label
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 ðŸ¥º;general positif
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif
Kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;general negatif
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif
sistem operasinya sangat lancar anti lemot;spesifikasi positif
desainnya emang paling unik dan simpel;general positif
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif
selalu suka dan nyaman banget menggunakan Iphone;general positif
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif, harga positif
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;general negatif
desain Iphone X terlihat hambar dan sedikit membosankan;general negatif
sayangnya baterai iphone sangat boros;baterai negatif
hasil pengambilan gambar dan video saat malam hari sangat memuaskan;kamera positif
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif
pilihan warna pada Iphone sangat unik dan tidak membosankan;general positif
Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;kamera positif
bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;general positif
Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;baterai positif
pengisian daya pada Iphone 11 super cepat;baterai positif
Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;general positif
Iphone 11 Pro didesain dengan dimensi layar yang lebih kecil sehingga nyaman untuk digenggam;general positif
Iphone 11 Pro memiliki tingkat kecerahan yang lebih baik;general positif
kamera telefoto dan kamera ultra-wide masih terasa kurang greget;kamera negatif
Iphone 11 Pro tidak menyediakan lubang audio;general negatif
bagus banget nih kamera nya bisa jadi youtuber deh aku;kamera positif
baterai nya awet deh bisa seharian main tiktok;baterai positif
ih senang deh tiada hari tanpa selfie nih gara-gara kamera nya;kamera positif
pantas di kantong nih hp nya jadi gak ribet bawa tas;general positif
ukuran layarnya sedikit kecil agak susah nih mau ngegame;general negatif
fitur-fitur kameranya bikin hasil foto cantik banget deh;kamera positif
IOS nya selalu update yang terbaru nih, jangan takut ketinggalan IOS;spesifikasi positif
walaupun harganya sangat mahal tapi spesifikasinya sangat baik;harga negatif, spesifikasi positif
Iphone memiliki memori internal yang besar sehingga tidak memerlukan memori eksternal;spesifikasi positif
makin banyak nih video tiktok aku karena hasilnya jernih banget;kamera positif
jalan-jalan makin puas nih karena bisa dapatin foto-foto yang bagus;kamera positif
Iphone 11 Pro tidak memiliki RAM yang cukup besar hanya 4GB;spesifikasi negatif
sayangnya ngecas iphone sehari bisa sampai 2 atau 3 kali;baterai negatif
spesifikasi iphone 11 Pro memang sangat baik jadi wajar harganya pun relatif tinggi;spesifikasi positif, harga positif
terkadang kapasitas baterai turun drastis ketika memperbarui IOS;baterai negatif
aplikasi di iphone rata-rata banyak berbayar;general negatif
baterai sangat boros sehingga selalu membawa cas kemana-mana;baterai negatif
kamera nya kadang suka ga bisa fokus;kamera negatif
kecerahan dari kamera kadang suka tidak stabil;kamera negatif
banyak yang komen kamera 3 nya kayak kompor ih;kamera negatif
gaada efek glowingnya nih kamera;kamera negatif
sumpah biasa aja nih kameranya ga ada bagus bagusnya;kamera negatif
hasil foto malam hari ga terlihat bagus;kamera negatif
efeknya gabisa nutupin jerawat nih;kamera negatif
makin kesini kameranya makin aneh ih, jelek;kamera negatif
udah kayak minuman boba aja tu kamera banyak bener;kamera negatif
baru beli, baterai nya awet banget bisa seharian dipakai main tiktok;baterai positif
ga perlu bawa casan kemana mana deh, baterai nya tahan banget;baterai positif
udah pake sekitar 5 bulan, kesehatan baterainya tidak menurun;baterai positif
sumpah ya awet bener seharian gila;baterai positif
ga nyesel sumpah beli iphone, baterai nya bisa nonton youtube seharian;baterai positif
lebih irit baterainya dari varian sebelumnya;baterai positif
ngecas nya ga perlu waktu lama loh;baterai positif
boros banget gila baterainya;baterai negatif
jadi nyesel beli iphone kalau tau baterai nya boros begini;baterai negatif
sumpah ya baru main sejam udah habis aja ini baterai;baterai negatif
baterai nya ga bisa dicopot nih;baterai negatif
ngedit video tiktok cuman bisa 1 nih kalau kayak gini baterainya;baterai negatif
udah kayak air terjun nih baterai cepat banget ngalirnya;baterai negatif
ini hp atau apa dah besar banget ukurannya;general negatif
kalau jatuh keliatan lecetnya karna desainya mengkilap;general negatif
terlalu besar ukurannya jadi susah masuk saku;general negatif
capek juga genggam hp segede ini;general negatif
gila performanya bagus banget, cepat lagi;spesifikasi positif
sumpah ini mah kalau main game anti lemot wkwk sistem operasinya lancar banget;spesifikasi positif
makin kesini kinerja dan sistem operasinya makin baik dah;spesifikasi positif
bisnis aku makin lancar deh kalau perfomanya kayak gini;spesifikasi positif
spesifikasinya gila memuaskan banget, tidak diragukan lagi;spesifikasi positif
sayang ini RAM nya hanya 3GB;spesifikasi negatif
kadang IOS nya suka ngefek ga baik buat aplikasinya;spesifikasi negatif
fitur sidik jari dihapus kan jadi ribet;spesifikasi negatif
sebel banget tombol tengahnya dihilangkan;spesifikasi negatif
ih cuman ada memori internal nih gaada memori eksternalnya;spesifikasi negatif
sebel banget lubang audio nya gaada;spesifikasi negatif
fitur-fiturnya banyak diganti nih jadi agak ribet;spesifikasi negatif
