Tweet;label;Tweet_Parsed
Sebenernya pengen bangeettt22222 ganti iphone 11 hanya krn ada warna mint green. Kaya gemesh gitu. Udah melipir ke ibox dan eraphone 2 apa 3 kali gitu, dan udah nanya2 hampir beli. Tapi seketika sadar, masih ada yang lain yg di prioritasin Ã°Å¸Ëâ¦;general positif;sebenarnya menginginkan bangeettt ganti  hanya karena ada warna mint hijau kaya bagus begitu udah pergi ke ibox dan eraphone apa sekali begitu dan udah nanya hampir beli tapi seketika sadar masih ada  lain  di prioritasin 
Saya suka iPhone11 Pro. Tapi tak mampu. Oleh itu alang2 saya tunggu iPhone12, harap2 ada rezeki. Ã°Å¸ËÂ;general positif,harga negatif;saya suka   tapi tidak mampu oleh itu  saya tunggu  harap ada rezeki 
Ha mai amik aku lu. Sebab dengan iphone 11 ni aku mampu merecord video pala dengan penuh HD;kamera positif;   aku kamu karena dengan  ini aku mampu merekam video kepala dengan penuh hd
worth parah sihh, sayang aja gitu beli xr kameranya cuman 1 walopun hasilnya bagus banget ga muluk2. kalo mau milih tuh harusnya antara xs/xs max sama iphone 11 nah itu baru pilihan susah.;kamera positif;sebanding parah  sayang  begitu beli xr kameranya cuman walau hasilnya bagus sekali tidak muluk kalau mau milih tuh harusnya antara    sama  nah itu baru pilihan susah 
Quick charge tu fast charging ko? Iphone 11 ni fast charging tapi keno beli usb hok support fast charging. And guno phone sambil charge dok molek kei;baterai positif;cepat charge itu cepat charger   ini cepat charger tapi keno beli usb hok mendukung cepat charger dan berguna  sambil charge dok molek kei
iphone 11, karena iphone 11 lebih terbaru daripada iph xs max. and dari spek juga bagusan iph 11;spesifikasi positif; karena  lebih terbaru daripada    dan dari spek juga bagusan  
"Emang iphone11 ini lucu2 warnanya, yg lavender juga lucuu...
Btw aku salfok sama caption nya sih Ã°Å¸Â¤Â£";general positif;memang  ini lucu warnanya  ungu juga bagus  aku salah fokus sama judul   
Iphone 11 aja yg purple lucu bgt :(;general positif;   ungu bagus sekali 
"Kelanjutan dari ""Zan gapunya iphone..."" (buat testing app) Pngn punya iphone (11) tp boros bgt belinya mahal and then God gives me (better alternative bcs its free) in a unexpected way. Iya iya punya kantor trs bukan tipe baru tp seneng~ Makasi bosku & universe Ã°Å¸ââ¹Ã°Å¸ââ¹Ã°Å¸ââ¹ Ã°Å¸Ëâ  pic.twitter.com/1uAKqTbAwb";harga negatif;kelanjutan dari zan gapunya  buat percobaan aplikasi ingin punya  tapi boros sekali belinya mahal dan then bagus memberi saya lebih baik alternatif karena its gratis in a tidak menyangka  iya iya punya kantor kemudian bukan tipe baru tapi seneng makasi bosku dunia 
Aku suka batery iphone 11 walaupon  capasity batery nya hanya 3000mhw tapi performance nya lebih baik daripada smartfone android yang berkapasiti 3000mhw .Satu sebab saya tak suka pakai android sebab batery nya selalu baterynya down mendadak;baterai negatif;aku suka baterai  walaupun kapasitas baterai  hanya mhw tapi penampilan  lebih baik daripada smartfone android  berkapasiti mhw satu karena saya tidak suka pakai android karena baterai  selalu baterai turun mendadak
wowowoowow iphone iphone iphone 11 pro;general positif;wow    
aku dl samsung note 10 trs ke iphone 11, beralih ke iphone jd lbh suka krn kamera lbh jelas dan bagus sih, kl ip agak ribet di save datanya gt mnrtku. tp sukanya krn kalo update lbh jelas, andro sebagus apapun kl update ga se clear ip heu;kamera positif;aku dulu samsung note kemudian ke  beralih ke  jadi lebih suka karena kamera lebih jelas dan bagus  kalau  agak ribet di simpan datanya begitu menurutku tapi sukanya karena kalau perbarui lebih jelas android sebagus apapun kalau perbarui tidak se bersih  
"- iphone 11 pro karena kapasitas memori gede 256gb jadi bisa untuk jangka lama ... dan simple untuk casual-phone but might be weird since you were an android ke iphone...

- s20+ bts edition karena bts dan warna CASING NYA BAGUS";spesifikasi positif,general positif;   karena kapasitas memori besar gb jadi bisa untuk jangka lama dan sederhana untuk santai  but mungkin be aneh sejak you were an android ke  s  edisi karena  dan warna casing  bagus
"Suaranya kek announcer sumpah dah. 
Btw mic iphone 11 clear banget bajingan, jadi pengen beli tapi nga ada duitnya hahaha.";general positif;suaranya seperti pengumuman    mic  bersih sekali  jadi menginginkan beli tapi nga ada duitnya hahaha 
iPhone 11 purple cinta bgt sama.purple bagus cantik indah bgt Ã°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­;general positif; ungu cinta sekali sama ungu bagus cantik indah sekali 
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;  karena lebih saat di tangan dan kameranya tuh lebih bagus chipset juga lebih oke dari   
iPhone 11 Pro Max irit kok.;baterai positif;   irit kok 
"Yaampuuun udah 87% aja setelah pake iphone 2 tahun.

ios 13 bangke ini siiih.

Mau ganti iphone 11 tapi takut klo gak sengaja ketuker ama adek Ã°Å¸Ëâ  pic.twitter.com/5nCidwIxKT";baterai negatif,spesifikasi negatif; udah  setelah menggunakan  tahun ios jelek ini  mau ganti  tapi takut kalau tidak sengaja tertukar sama adek 
Leaks iPhone 12, ukurannya lebih kecil daripada iPhone 8 / SE (new) tapi kamera seri Pronya boi, GUEDE BANGET iPhone 11 Pro kameranya keliatan kecil. Ga ada power adapter sama earpod, cuma dapet kabelnya doang. Plus Apple Chip A14 is like 3-5 times better than the currrent A13;general negatif,kamera negatif,spesifikasi positif;  ukurannya lebih kecil daripada  se baru tapi kamera seri pronya  besar sekali   kameranya keliatan kecil tidak ada power adapter sama earpod cuma dapet kabelnya  plus  chip a is suka times lebih baik than  currrent a 
Iphone 11 lh, battery dia tahan sikit;baterai positif;  baterai dia tahan sedikit
"Kenapa ya walaupun hampir 20juta kalo cuma android ga dihargai gitu? Kemaren waktu foto pilihan ada samsung S20 ultimate sama iphone 11 pro max, dibilang ""pake hape kamu aja kan kameranya paling cantik"" bilangin yang iphone. Padahal yang samsung kameranya bagus juga. Sedih aku tu";kamera positif;kenapa  walaupun hampir juta kalau cuma android tidak dihargai begitu kemaren waktu foto pilihan ada samsung s ultimate sama    dibilang menggunakan  kamu  kan kameranya paling cantik membicarakan   padahal  samsung kameranya bagus juga sedih aku itu
dosenku iphone 11 ganti jd samsung s20 nder, brrti iphone bosenin wkwk;general negatif;dosenku  ganti jadi samsung s  berarti  membosankan 
try pakai iphone 11 dulu bro, serius best camera dia huhu;kamera positif;coba pakai  dulu  serius baik kamera dia 
Knp iphone 11 aku tiba2 blank dekat sejam, smpai aku terpaksa letak dlm beras sbb dia blank dan phone jd panas lepas sejam letak dlm beras phone nyala lepastu battery habis padahal sblm padam tu battery full kot..adakah ini normal??;baterai negatif;kenapa  aku tiba mati dekat sejam sampai aku terpaksa letak dalam beras karena dia mati dan  jadi panas setelah sejam letak dalam beras  nyala setelah baterai habis padahal sebelum mati itu baterai full kok adakah ini normal 
Iyaaa kan. Cakep banget iPhone 11 Pro & 11 Pro Max Ã°Å¸Â¤Â©;general positif;iya kan bagus sekali     
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";spesifikasi negatif,kamera positif;heran  memori cepat sekali abis kebetulan lagi suka membuat video masak kadang ditengah masak memori abis bingung dan panik makanan bisa gagal tapi setelah liat kualitas videonya bener tidak penting bagus dan alus sekali terlalu canggih buat saya 
android baterai nya tahan lama, iphone boros kcuali iphone 11;baterai positif;android baterai  tahan lama  boros kecuali  
"@iphonefess halo sore ka, mau nanya nih. iPhone 11 Pro Max ku kemarin kehabisan baterai, terus aku charger eh jadi lama banget. Seharian cuma masuk sekitar 40%. Lambang charging nyala, n semua normal ngga panas. Kira2 apanya ka?
Tolong dibantu ya, tks Ã°Å";baterai negatif; iphonefess halo sore ka mau tanya     ku kemarin kehabisan baterai terus aku charger eh jadi lama sekali seharian cuma masuk sekitar lambang charger nyala n semua normal ngga panas kira apanya ka  dibantu  terimakasih 
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëâ   https://twitter.com/GamesMenfess/status/1274142447451295745ÃÂ Ã¢â¬Â¦;spesifikasi positif,general positif,baterai positif,general negatif; chipset kenceng layar besar dan baterai kuat karena resolusi layar rendah 
"Iphone x max bagus kameranya iphone 11 jg bagus hehehe ...
Gua selfie pake hp itu cakep.

Tp gua selfie pake hp gua ini jele Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£";kamera positif;   bagus kameranya  juga bagus  aku foto menggunakan  itu bagus tapi aku foto menggunakan  aku ini jele 
iphone 11 promax kamera bgus hp bgus;kamera positif;  kamera bagus  bagus
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;kamera positif,spesifikasi positif;go untuk  dan above samsung ini android paham la  developer aplikasi selalu anak tirikan android anak emaskan  walaupun s flagship but application optimization untuk hardware tidak seoptimum  story ig akan tetap ada micro lag 
pake iphone 11 kakak biar videonya makin cetar;kamera positif;menggunakan  kakak biar videonya makin cetar
belilah fast charging for Iphone 11 sbb 5 watt charger yang dibekalkan amatlah slow;baterai negatif;belilah cepat charger untuk  karena watt charger  dimasukan sekali lambat
Kl aku pake seperlunya, buat medsos, foto, urusin online shop masih aman sih. Kualitas kamera jg bagus. Tp kl cari yg nilainya masih tinggi tahun2 ke depannya yaa iphone 11, kl ip x aja skrg 7 jt udh dapet.;kamera positif;kalau aku menggunakan seperlunya buat media sosial foto urusin online shop masih aman  kualitas kamera juga bagus tapi kalau cari  nilainya masih tinggi tahun ke depannya yaa  kalau    sekarang jt udah dapet 
yaallah tergoda iphone 11 warna biru. eh apase warna sebenere. pokok biru jareku;general positif;yaallah tergoda  warna biru eh apa warna sebenere pokok biru suka
Haih cantiknya camera depan iphone 11 Ã°Å¸ËÅ;kamera positif; bagus kamera depan  
"Beli iphone 11 kemaren niat nya cuman mau beli mouse buat laptop, trus iseng nanya Ã¢â¬Åini berapa bang? Yg warna itu? Ternyata dikasih 11 pro biasa kecil ga sadar.
2hari kmudian nanya ke salesnya Ã¢â¬Åkok kecil ku mau yg max brp? Ã¢â¬ÅYdh ambil silver 256gb.

Riyalife tamat.";general negatif;beli  kemaren niat  cuman mau beli mouse buat laptop lalu iseng tanya ini berapa bang  warna itu ternyata dikasih  biasa kecil tidak sadar hari kmudian tanya ke salesnya kok kecil ku mau   berapa yasudah ambil silver gb riyalife tamat 
iPhone 11 yang warna ungu cakep kali:( blm move on Ã°Å¸Â¥Âº;general positif;  warna ungu bagus sekali belum move hidup 
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai positif;baterai mah ini dalam akan dimasukan di dalam    meskipun kapasitas baterai  tidak pernah mencapai mah ketahanan baterai  sejak seri  tidak boleh disangkal bahkan mampu bersaing dengan huawei mate   mempunyai kapasitas baterai mah 
IPHONE 11 GUE GAK BOLEH DIPAKE MAIN RP ANJRIT.;general negatif; gue tidak boleh digunakan main rp  
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104ÃÂ Ã¢â¬Â¦;baterai negatif;  chargernya masih watt 
"Sejak p10 sebenernya sdh gak kekejar sama iphone, tp sejak iphone 11 pro sptnya apple sdh mulai mau ngejar sih secara kualitas foto kalau dicetak.
Jeleknya kalau skrg jalan2 jadi males bawa kamera beneran, karena kamera hpku sdh pada bisa diandalkanÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸ËÂ";kamera positif;sejak p sebenarnya sudah tidak kekejar sama  tapi sejak   sepertinya  sudah mulai mau raih  secara kualitas foto kalau dicetak jeleknya kalau sekarang jalan jadi malas bawa kamera beneran karena kamera hpku sudah pada bisa diandalkan 
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃÂ  #LatestNews #OS #apple #iOS #iphone11;baterai negatif;perbarui ios pengguna  keluhkan membuat baterai turun latestnews os  ios  
Charge iphone 11 lambat nya minta ampooon Ã°Å¸Ëâ;baterai negatif;charge  lambat  minta ampun 
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-ÃÂ Ã¢â¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;baterai positif,spesifikasi negatif,baterai negatif;  meluncurkan  dengan peningkatan daya tahan baterai keluhkan perbarui ios kuras baterai ponsel  
Iphone 11 warna mintÃ°Å¸ËÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif; warna mint mohon mau sekali atau tidak  ungu 
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;baterai positif,spesifikasi positif;  tapi soal baterai bener jauh lebih irit  kenaikan perfoma dari   ke  
Pengen iphone 11 yg warna kuning;general positif; menginginkan   warna kuning
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;kamera positif;alasan kenapa harus beli   jelas bukan karna gaya gayaan tapi buat menunjang kerjaan sekali  fitur potretnya membuat suka gambar belum di edit 
IPHONE 11 PRO TU- MAHAL WEH-;harga negatif;  itu mahal weh 
Oh terus kalo iphone kameranya yang bisa selfie wide baru iphone 11, lu samsung aja biar kalo kita selfie bareng gampang WKWKWKWKWK;kamera positif; terus kalau  kameranya  bisa foto wide baru  kamu samsung  biar kalau kita foto bareng gampang wkwkwkwkwk
Kabarnya #Apple akan membekali #iPhone 12 dengan baterai berkapasitas yang lebih besar dari iPhone 11 Pro Max.   https://www.tagar.id/iphone-12-akan-gendong-baterai-kapasitas-besar/?source=twitterÃÂ Ã¢â¬Â¦;baterai positif;kabarnya  akan membekali  dengan baterai berkapasitas  lebih besar dari    
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸ËâÃ°Å¸Ëâ tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëâ¹Ã°Å¸Ëâ¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";kamera positif,baterai positif;cinematic video   pengalaman unik saat buat video ini tidak ada persiapan baterai juga tinggal tapi lumayan lah bisa nandingin miroles saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini makemac shootoniphone 
iphone 11 camera sampah haha kalau 11 pro, pro max okay. iphone bab video dia power, kalau bab gambar huawei power lagi.;kamera negatif; kamera sampah  kalau    ok  bab video dia power kalau bab gambar huawei power lagi 
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;general negatif;multitasking halus tapi layar   sekalipun saya  uji masih tidak halus
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;baterai negatif,harga positif;dari lalu aku pakai  s ini sekarang baterainya udah ngedrop sekali dari ke cuman tahan menit liat harga    udah mulai turun memang inilah saatnya aku harus beli power bank 
iphone 11 pro dipegang park haejin jadi kaya kecil bangett  pic.twitter.com/DLw5NdEgau;general negatif;  dipegang park haejin jadi kaya kecil sekali 
iPhone 11 biar fotonya bagus *LXC*  https://twitter.com/oliviabyexxyx/status/1267809902661009411ÃÂ Ã¢â¬Â¦;kamera positif; biar fotonya bagus lxc 
Beda market man, jelas. Iphone 11 bukan buat fanboy, ngincer user yg baru mau masuk atau naik ke touch id less tp ga mikirin kualitas bahan sih;general negatif;beda pasar man jelas  bukan buat fanboy ngincer pengguna  baru mau masuk atau naik ke touch id less tapi tidak mikirin kualitas bahan 
Ambil iphone 11. Saya baru tukar ke iphone SE dari Huawei P20. Battery agak mengecewakan tapi performance lain sangat superb.;baterai negatif;ambil  saya baru tukar ke  se dari huawei p baterai agak mengecewakan tapi penampilan lain sangat  
Jd pengen iphone 11. Cakep banget gambarnya;kamera positif;jadi menginginkan  bagus sekali gambarnya
Tergantung kebutuhan, tp kalo buat sehari2 ya pilih iphone 11 pro max ajah.;general positif;tergantung kebutuhan tapi kalau buat sehari  pilih    ajah 
Aku merasa hpku mulai kehilangan ketajaman kameranya. Apakah ini tandanya buat upgrade?? Ya abis beda banget bandingin sm iPhone 11 punya ponakan, bening bener dah gambarnya.;kamera positif;aku merasa hpku mulai kehilangan ketajaman kameranya apakah ini tandanya buat upgrade  abis beda sekali bandingin dengan  punya ponakan bagus benar  gambarnya 
Iphone 11 yg ungu cute bgt astaga :');general positif;  ungu cute sekali astaga 
wah cantiknya camera iphone 11 Ã°Å¸âÂÃ°Å¸ââÃ°Å¸âÂ;kamera positif;wah bagus kamera  
nak iphone 11 warna hijau tuÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;ingin  warna hijau itu 
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone";baterai positif; buat pengguna  tidak suka ganti ganti  tiap tahun baterai juga lebih awet 
iphone 11 megapro ini selain kameranya apanya dah yang unggul? perasaan wa migrasi dari 7 ke x ga banyak kemajuan;kamera positif; megapro ini selain kameranya apanya   unggul perasaan wa migrasi dari ke  tidak banyak kemajuan
kamera iphone 11 lebih jernih daripada mataku;kamera positif;kamera  lebih jernih daripada mataku
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â¬Ëno serviceÃ¢â¬â¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;spesifikasi negatif;assalam admin saya pakai  dan pakai terbaru ios tapi dalam sehari pasti sekali atau dua sekali line saya akan hilang lalu kemudian muncul no service setelah sec seperti dia ok balik saya  coba semua solusi dengan  mendukung tapi  jadi jadi mana  admin xaviernaxa
"Ampe ntar android jg kebagian... 

Pembedanya nanti kualitas voice record nya aja.. iPhone 11 pro dan max emang cakep hasil record nya";general positif;ampe ntar android juga kebagian pembedanya nanti kualitas voice record     dan  memang bagus hasil record 
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;general negatif;multitasking halus tapi layar   sekalipun saya  uji masih tidak halus
Iyaaa iPhone 11 Purple & Green emang paling favorit sih. Cakep banget warnanya, kak Ã°Å¸Â¥Â°Ã°Å¸Â¤Â©;general positif;iya  ungu hijau memang paling favorit  bagus sekali warnanya kak 
Worth it bgt ni iphone11, nonton youtube puas bgt serasa nonton d tipi. Quality gambar ama speakernya bagus bgttt Ã°Å¸Ëâ Ã°Å¸Ëâ Ã°Å¸Ëâ ;general positif,kamera positif;sebanding it sekali ini  nonton youtube puas sekali serasa nonton d tipi kualitas gambar sama speakernya bagus sekali 
Iphone 11 kameranya gaada obat;kamera positif; kameranya tidak lawan
Baru iphone 11 keatas yg ada pake slowmo di kamera depan;kamera positif;baru  keatas  ada menggunakan slowmo di kamera depan
Iphone 11 pro max ccd banget ngentot!!!!;general negatif;   cacat sekali  
Terus juga banyak yg blg iphone 11 itu kamera depannya kurang. Coba aja cari di youtube bnyak yg bahas.;kamera negatif;terus juga banyak  bicara  itu kamera depannya kurang coba  cari di youtube banyak  bahas 
Iphone 11 udah bagus kok batrenya, atau iphone XR awet batrenya;baterai positif; udah bagus kok baterai atau  xr awet baterai
spesifikasi semuanya sih worth it sih tergantung kemampuan duit masing masing. Cuma kalau ngurusin kamera saat low-light mungkin iPhone 11 lebih baik.;kamera positif;spesifikasi semuanya  sebanding it  tergantung kemampuan uang masing masing cuma kalau ngurusin kamera saat kecil light mungkin  lebih baik 
Aku pengen iphone 11 minn biar makin cakeppp kalo mau foto produkÃ°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­ #ReaquestGAShopee;kamera positif;aku menginginkan   biar makin bagus kalau mau foto produk reaquestgashopee
kamera IPHONE 11 KEREN PARAHHH;kamera positif;kamera  keren sekali
WARNA BIRU BUAT SIS KELIRU Ã°Å¸Â¤Â¯ CANTIK KAN IPHONE 11 ? NAKKAN IPHONE YG harga MURAH N ORIGINAL ? BELI SEKARANG DI @waynegadgett . SELLER PERAMAH N BERKOMITED MEMASTIKAN IPHONE HAMPA CLEAR DARI SEBARANG VIRUSÃ¢ÂâÃ¢Ââ pic.twitter.com/evRYfyTuuM;general positif,harga positif;warna biru buat  keliru cantik kan  nakkan   harga murah n original beli sekarang di waynegadgett seller peramah n berkomited memastikan  hampa bersih dari sebarang virus 
Terbaik bro ! Apa apa pun iphone 11 mmg terbaik for midrange phone Ã°Å¸Ëâ;general positif;terbaik  apa apa   memang terbaik untuk midrange  
Fitur NFC di iPhone kini bisa digunakan untuk mengecek saldo hingga melakukan top-up e-money Bank Mandiri. #iPhone11 #NFC pic.twitter.com/ZHfVdQxkms;general positif;fitur nfc di  kini bisa digunakan untuk mengecek saldo hingga melakukan top up e money bank mandiri  nfc 
"Bagi memastikan rakan saya membuat pilihan yang tepat. Perkara utama yang harus difahami adalah iPhone 11 adalah model berkelas separa mercu dan iPhone XS mercu. 

Namun iPhone 11 mempunyai kelebihan dari segi cip A13 Bionic dan dilancarkan pada tahun 2019.";spesifikasi positif;bagi memastikan rakan saya membuat pilihan  tepat perkara utama  harus difahami adalah  adalah model berkelas separa mercu dan   mercu namun  mempunyai kelebihan dari segi chipset a bionic dan dilancarkan pada tahun 
