Tweet;label;Tweet_Parsed;Prediksi;Prediksi_Score
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif;bagus ato samsung mirrorless malah tidak easy use ahaha;general positif;general 0
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";kamera positif;berkemungkinan situasi spesifikasi terkini termasuklah layar oled menyokong telephoto berbanding menyokong kamera lebar ultra lebar;general positif,kamera positif;general 0,kamera 0
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;general positif,kamera positif;mencadangkan faktor walaupun akui hadir chipset pemprosesan lebih memiliki berminat kamera ultra lebar;kamera positif;kamera 0
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif;tidak chip layar layar oled tidak led layar;general negatif;general -1
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif;cute pantes cewek cewek beli;general positif;general 0
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. Kamera blkg sama2 12MP;kamera positif,baterai positif;saranku ajaa karna cuma perbaikan iphon xr kecuali baterai mah lebih ketimbah kamera menang kamera kamera mp;baterai positif,kamera positif;baterai 1,kamera 1
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif;kapasitas mah mah mah mah berdasarkan perbandingan mah lebih berbanding;baterai positif;baterai 0
iPhone 11 kok lemot;spesifikasi negatif;lemot;general negatif;general -1
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif;hopefully harga kurang tidak charger also peluang turunkan harga jimat possible harga lebih murah xr lebih;harga negatif,baterai positif;harga -2,baterai 0
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;lebih pas tangan kameranya tuh lebih bagus chipset lebih oke;kamera positif;kamera 1
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;general positif;lebih memori udah cukup;spesifikasi positif;spesifikasi 0
Dan kenapa harganya skrg mahal? Krn dollar naik jd untuk iphone 11 series harganya juga ikut naik. Gitu lho. Jgn blg mahal bgt taun kmrn seginisegini, gue februari beli jg cuma 12 jt yg 128gb di ibox Ã°Å¸Ëâ¹;harga positif;harganya mahal dollar series harganya lho jgn bicara mahal taun kmrn seginisegini gue februari beli cuma jt gb ibox;harga negatif;harga -2
"Bagi saya, jelas iPhone 11 ialah pilihan yg lebih baik

iPhone XS
Kelebihan :
1. OLED

iPhone 11
Kelebihan :
1. A13 Bionic
2. Ultra Wide lens
3. Night mode, Deep Fusion
4. Bateri tahan lebih lama  https://twitter.com/XavierNaxa/status/1270713421353242627ÃÂ Ã¢â¬Â¦";baterai positif;jelas pilihan lebih kelebihan oled kelebihan bionic ultra wide lens night mode deep fusion baterai tahan lebih;baterai positif;baterai 1
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;harga negatif;dijual bisa belanja;general positif;general 0
Kalo sender lebih mentingin ketajaman layar mending Xs Max, tapi kalo buat keseluruhan ya iPhone 11 atuh, ultra wide angle nya cakep banget, chipsetnya juga terbaru.;baterai positif,spesifikasi positif;lebih lebih ketajaman layar lebih keseluruhan ultra wide angle bagus chipset terbaru;general positif;general 1
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491ÃÂ Ã¢â¬Â¦;general positif;tidak menyesal beli;general negatif;general -2
iphone 11 yg purple gemay bgt ga si hmÃ°Å¸Â¥Âº;general positif;ungu bagus tidak hm;general positif;general 0
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;kamera negatif;aneh kamera kaya android ih halus;kamera positif;kamera 1
Iphone 11 kameranya kenapa aneh banget si;kamera positif;kameranya aneh;kamera positif;kamera 0
Berdasarkan laporan ini, saya boleh buat konklusi bahawa Apple menurunkan kapasiti mAh disebabkan mereka percaya cip A14 Bionic mampu memberikan jangka hayat yang sama seperti iPhone 11.;baterai negatif,spesifikasi positif;berdasarkan laporan kesimpulan bahawa menurunkan kapasitas mah disebabkan percaya chipset bionic mampu jangka tahan;baterai negatif;baterai -1
Iphone 11 nder , gua xr aja hasil nya udh gila bagus bgt, ambil yg 256gb, kalo andro kurang tau, kadang suka ada efek berlebih difotonya, dan di xr keatas ini efek bokeh bisa disetting diagramanya, jadi bisa seblur apa fotonya, ini berlaku buat kamera depan sm belakang;kamera positif;xr hasil udah bagus ambil gb android kurang tau kadang suka efek berlebih difotonya xr keatas efek bokeh bisa disetting diagramanya bisa seblur fotonya berlaku kamera;kamera positif;kamera 0
Lol.. Naksirrrrr banget sama ungu pastel nya iphone 11 Ã°Å¸Â¥Âº;general positif;menyukai ungu pastel;general positif;general 1
hp iphone 11 tapi fotonya low quality semua..  pic.twitter.com/eW67jekiAR;kamera negatif;fotonya low kualitas;kamera positif;kamera 0
Kalo kamera bagusan xs max dripda iphone 11. Mending kalo mau 11, langsung 11 promax aja.;kamera positif;kamera bagusan dripda lebih langsung;kamera positif;kamera 0
Iphone 11  pro paling murah 18jt . Bagi 5 hari so 3,6 jt . No rek nnti aku trf segitu selama 5 hari;harga positif;murah jt jt rek nnti trf segitu;harga positif;harga 0
Kamera iphone 11 ngewiii sekali.  pic.twitter.com/4E402uaSxb;kamera positif;kamera ngewiii;kamera positif;kamera 0
iPhone 11 sumpah bateri tahan macam android yg bateri 4k mAh. Tak tipu, aku pakai 11 ni sehari charge sekali je. Kalau time tak pakai on low power mode lagi lama bateri tahan.;baterai positif;baterai tahan android baterai k mah tidak bohong pakai sehari charge je time tidak pakai hidup low power mode baterai tahan;baterai negatif;baterai -2
iPhone barunya doang mahal. secondnya murah. coba cek deh. 6+ aja ada yg 2jt. ya klo mau yang iphone 11 emang masih tinggi :);harga negatif;barunya mahal secondnya murah coba cek deh jt;harga negatif;harga -2
Iphone 11 is better ! Battery pun tahan 2 hari au;baterai positif;lebih baterai tahan au;baterai positif;baterai 0
Sumpah bt bgt iphone 11 tuh ngecharge lama bgt gue kl mgecharge full bs 3 jam an dan baru ngesearch di google emg gt hrs beli fast chargingnya lg yg pro dan promax udh dpt charger fast charging hhh kesel  pic.twitter.com/r3berIG4iO;general negatif;bt tuh charge gue mgecharge full bs jam ngesearch google emg hrs beli cepat chargingnya lg udah dpt charger cepat charger hhh kesel;baterai positif;baterai 1
hasil gambar menggunakan kamera mode wide angle sangat cantik dan natural;kamera positif;hasil gambar kamera mode wide angle cantik natural;kamera positif;kamera 1
harga Iphone X terhitung agak tinggi namun tidak akan kecewa setelah membelinya;harga negatif;harga terhitung agak tidak kecewa membelinya;harga negatif;harga -2
sistem operasinya sangat lancar anti lemot;spesifikasi positif;sistem operasinya lancar anti lemot;spesifikasi negatif;spesifikasi -1
desainnya emang paling unik dan simpel;general positif;desainnya unik simpel;general positif;general 1
sayangnya produk Iphone ini sangat rentan terjadi lecet sehingga pengguna harus menggunakan case hp;general negatif;sayangnya produk rentan lecet pengguna harus case;general negatif;general -3
pilihan case Iphone X dan Iphone 11 sangat beragam dan mudah ditemukan;general positif;pilihan case beragam mudah ditemukan;general positif;general 1
selalu suka dan nyaman banget menggunakan Iphone;general positif;suka nyaman;general positif;general 1
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif;kualitas gambar jernih pengguna tidak kecewa membelinya;kamera negatif;kamera -2
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;general positif;memiliki ukuran layar inchi pengguna tidak bosan;general negatif;general -2
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;kamera positif, harga positif;ukuran kamera mp kamera mp cocok harga ditetapkan;kamera positif,general positif,harga positif;kamera 1,general 0,harga 0
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;general negatif;tidak memiliki fitur pemindai sidik jari dianggap lebih cepat mudah pengguna kecewa;general positif;general 0
desain Iphone X terlihat hambar dan sedikit membosankan;general negatif;desain hambar sedikit membosankan;general negatif;general -2
sayangnya baterai iphone sangat boros;baterai negatif;sayangnya baterai boros;baterai negatif;baterai -1
hasil pengambilan gambar dan video saat malam hari sangat memuaskan;kamera positif;hasil pengambilan gambar video malam memuaskan;kamera positif;kamera 1
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif;resolusi gambar video dihasilkan bagus zoom tidak pecah;kamera negatif;kamera -1
pilihan warna pada Iphone sangat unik dan tidak membosankan;general positif;pilihan warna unik tidak membosankan;general positif;general 1
Iphone 11 memiliki fitur yang dapat mengatur keburaman latar belakang foto yang dapat menjadikan foto terlihat fokus pada satu objek;kamera positif;memiliki fitur mengatur keburaman latar foto menjadikan foto fokus objek;kamera positif;kamera 0
bagi pembisnis Iphone 11 sangat cocok karena memiliki performa yang sangat baik;general positif;pembisnis cocok memiliki performa;general positif;general 1
Iphone 11 memiliki prosesor A13 yang mampu menghemat 40 persen pemakaian daya baterai;baterai positif;memiliki prosesor mampu menghemat persen pemakaian daya baterai;baterai positif;baterai 1
pengisian daya pada Iphone 11 super cepat;baterai positif;pengisian daya super cepat;baterai positif;baterai 2
Iphone 11 Pro tahan air dan dapat bertahan selama 30 menit;general positif;tahan air bertahan menit;general positif;general 0
Iphone 11 Pro didesain dengan dimensi layar yang lebih kecil sehingga nyaman untuk digenggam;general positif;didesain dimensi layar lebih kecil nyaman digenggam;general positif;general 0
Iphone 11 Pro memiliki tingkat kecerahan yang lebih baik;general positif;memiliki tingkat kecerahan lebih;general positif;general 0
kamera telefoto dan kamera ultra-wide masih terasa kurang greget;kamera negatif;kamera telefoto kamera ultra wide kurang greget;kamera negatif;kamera -1
Iphone 11 Pro tidak menyediakan lubang audio;general negatif;tidak menyediakan lubang audio;general negatif;general -1
bagus banget nih kamera nya bisa jadi youtuber deh aku;kamera positif;bagus kamera bisa youtuber deh;kamera positif;kamera 1
baterai nya awet deh bisa seharian main tiktok;baterai positif;baterai awet deh bisa seharian main tiktok;baterai positif;baterai 0
ih senang deh tiada hari tanpa selfie nih gara-gara kamera nya;kamera positif;ih senang deh tiada tanpa foto gara gara kamera;kamera negatif;kamera -1
pantas di kantong nih hp nya jadi gak ribet bawa tas;general positif;kantong tidak ribet bawa tas;general negatif;general -2
ukuran layarnya sedikit kecil agak susah nih mau ngegame;general negatif;ukuran layarnya sedikit kecil agak susah ngegame;general negatif;general -3
fitur-fitur kameranya bikin hasil foto cantik banget deh;kamera positif;fitur fitur kameranya hasil foto cantik deh;kamera positif;kamera 1
IOS nya selalu update yang terbaru nih, jangan takut ketinggalan IOS;spesifikasi positif;ios perbarui terbaru jangan takut ketinggalan ios;spesifikasi negatif;spesifikasi -1
walaupun harganya sangat mahal tapi spesifikasinya sangat baik;harga negatif, spesifikasi positif;walaupun harganya mahal spesifikasinya;harga negatif;harga -2
Iphone memiliki memori internal yang besar sehingga tidak memerlukan memori eksternal;spesifikasi positif;memiliki memori internal tidak memerlukan memori eksternal;spesifikasi negatif;spesifikasi -1
makin banyak nih video tiktok aku karena hasilnya jernih banget;kamera positif;makin video tiktok hasilnya jernih;kamera negatif;kamera -1
jalan-jalan makin puas nih karena bisa dapatin foto-foto yang bagus;kamera positif;jalan jalan makin puas bisa dapatin foto foto bagus;kamera negatif;kamera -1
Iphone 11 Pro tidak memiliki RAM yang cukup besar hanya 4GB;spesifikasi negatif;tidak memiliki ram cukup hanya gb;spesifikasi negatif;spesifikasi -2
sayangnya ngecas iphone sehari bisa sampai 2 atau 3 kali;baterai negatif;sayangnya ngecas sehari bisa;general negatif;general -1
spesifikasi iphone 11 Pro memang sangat baik jadi wajar harganya pun relatif tinggi;spesifikasi positif, harga positif;spesifikasi wajar harganya relatif;harga positif;harga 0
terkadang kapasitas baterai turun drastis ketika memperbarui IOS;baterai negatif;terkadang kapasitas baterai turun drastis memperbarui ios;baterai negatif,spesifikasi positif;baterai -1,spesifikasi 0
aplikasi di iphone rata-rata banyak berbayar;general negatif;aplikasi berbayar;general positif;general 0
baterai sangat boros sehingga selalu membawa cas kemana-mana;baterai negatif;baterai boros membawa cas kemana;baterai negatif;baterai -1
kamera nya kadang suka ga bisa fokus;kamera negatif;kamera kadang suka tidak bisa fokus;kamera negatif;kamera -1
kecerahan dari kamera kadang suka tidak stabil;kamera negatif;kecerahan kamera kadang suka tidak stabil;kamera positif;kamera 0
banyak yang komen kamera 3 nya kayak kompor ih;kamera negatif;komen kamera kayak kompor ih;kamera negatif;kamera -1
gaada efek glowingnya nih kamera;kamera negatif;tidak efek glowingnya kamera;kamera negatif;kamera -1
sumpah biasa aja nih kameranya ga ada bagus bagusnya;kamera negatif;biasa kameranya tidak bagus bagusnya;kamera negatif;kamera -1
hasil foto malam hari ga terlihat bagus;kamera negatif;hasil foto malam tidak bagus;kamera negatif;kamera -1
efeknya gabisa nutupin jerawat nih;kamera negatif;efeknya gabisa nutupin jerawat;general negatif;general -1
makin kesini kameranya makin aneh ih, jelek;kamera negatif;makin kesini kameranya makin aneh ih jelek;kamera negatif;kamera -1
udah kayak minuman boba aja tu kamera banyak bener;kamera negatif;udah kayak minuman boba kamera;kamera positif;kamera 0
baru beli, baterai nya awet banget bisa seharian dipakai main tiktok;baterai positif;beli baterai awet bisa seharian dipakai main tiktok;baterai positif;baterai 0
ga perlu bawa casan kemana mana deh, baterai nya tahan banget;baterai positif;tidak bawa casan kemana deh baterai tahan;baterai negatif;baterai -1
udah pake sekitar 5 bulan, kesehatan baterainya tidak menurun;baterai positif;udah sekitar kesehatan baterainya tidak menurun;baterai positif;baterai 1
sumpah ya awet bener seharian gila;baterai positif;awet seharian;general positif;general 0
ga nyesel sumpah beli iphone, baterai nya bisa nonton youtube seharian;baterai positif;tidak nyesel beli baterai bisa nonton youtube seharian;baterai negatif;baterai -2
lebih irit baterainya dari varian sebelumnya;baterai positif;lebih irit baterainya varian;baterai positif;baterai 0
ngecas nya ga perlu waktu lama loh;baterai positif;ngecas tidak waktu loh;general negatif;general -1
boros banget gila baterainya;baterai negatif;boros baterainya;baterai negatif;baterai -1
jadi nyesel beli iphone kalau tau baterai nya boros begini;baterai negatif;nyesel beli tau baterai boros;baterai negatif;baterai -1
sumpah ya baru main sejam udah habis aja ini baterai;baterai negatif;main sejam udah habis baterai;baterai positif;baterai 0
baterai nya ga bisa dicopot nih;baterai negatif;baterai tidak bisa dicopot;baterai negatif;baterai -1
ngedit video tiktok cuman bisa 1 nih kalau kayak gini baterainya;baterai negatif;ngedit video tiktok cuman bisa kayak gini baterainya;kamera positif,baterai positif;kamera 0,baterai 0
udah kayak air terjun nih baterai cepat banget ngalirnya;baterai negatif;udah kayak air terjun baterai cepat ngalirnya;baterai negatif;baterai -1
ini hp atau apa dah besar banget ukurannya;general negatif;ukurannya;general positif;general 0
kalau jatuh keliatan lecetnya karna desainya mengkilap;general negatif;jatuh keliatan lecetnya karna desainya mengkilap;general negatif;general -1
terlalu besar ukurannya jadi susah masuk saku;general negatif;ukurannya susah masuk saku;general negatif;general -1
capek juga genggam hp segede ini;general negatif;capek genggam segede;general positif;general 0
gila performanya bagus banget, cepat lagi;spesifikasi positif;performanya bagus cepat;general positif;general 2
sumpah ini mah kalau main game anti lemot wkwk sistem operasinya lancar banget;spesifikasi positif;mah main game anti lemot sistem operasinya lancar;baterai negatif,spesifikasi positif;baterai -1,spesifikasi 0
makin kesini kinerja dan sistem operasinya makin baik dah;spesifikasi positif;makin kesini kinerja sistem operasinya makin;spesifikasi negatif;spesifikasi -1
bisnis aku makin lancar deh kalau perfomanya kayak gini;spesifikasi positif;bisnis makin lancar deh perfomanya kayak gini;general negatif;general -1
spesifikasinya gila memuaskan banget, tidak diragukan lagi;spesifikasi positif;spesifikasinya memuaskan tidak diragukan;general positif;general 0
sayang ini RAM nya hanya 3GB;spesifikasi negatif;sayang ram hanya gb;spesifikasi positif;spesifikasi 1
kadang IOS nya suka ngefek ga baik buat aplikasinya;spesifikasi negatif;kadang ios suka ngefek tidak aplikasinya;spesifikasi negatif;spesifikasi -1
fitur sidik jari dihapus kan jadi ribet;spesifikasi negatif;fitur sidik jari dihapus ribet;general negatif;general -1
sebel banget tombol tengahnya dihilangkan;spesifikasi negatif;sebel tombol tengahnya dihilangkan;general positif;general 0
ih cuman ada memori internal nih gaada memori eksternalnya;spesifikasi negatif;ih cuman memori internal tidak memori eksternalnya;spesifikasi negatif;spesifikasi -1
sebel banget lubang audio nya gaada;spesifikasi negatif;sebel lubang audio tidak;general negatif;general -1
fitur-fiturnya banyak diganti nih jadi agak ribet;spesifikasi negatif;fitur fiturnya diganti agak ribet;general negatif;general -1
agak kecewa sih RAM nya ga meningkat;spesifikasi negatif;agak kecewa ram tidak meningkat;spesifikasi negatif;spesifikasi -1
belum 5g nih, masih aja 4g;spesifikasi negatif;belum g g;general positif;general 0
dijamin gabakal nyesel deh beli iphone dengan harga segitu;harga positif;dijamin gabakal nyesel deh beli harga segitu;harga negatif;harga -1
wajar sih harga nya segitu karena pemakaiannya dalam jangka lama;harga positif;wajar harga segitu pemakaiannya jangka;harga positif;harga 0
harga iphone x masih terjangkau kok;harga positif;harga terjangkau;harga positif;harga 0
barang bermerek dengan harga segitu wajar dong;harga positif;barang bermerek harga segitu wajar;harga positif;harga 0
ada kualitas ada harga wkwk;harga positif;kualitas harga;harga positif;harga 0
harga segitu buat iphone mah ga mahal;harga positif;harga segitu mah tidak mahal;baterai negatif,harga negatif;baterai -1,harga -2
sumpah udah berapa kali beli ga pernah nyesel sama harga segitu;harga positif;udah beli tidak nyesel harga segitu;harga negatif;harga -2
ketahanan lama untuk harga segitu wajar banget;harga positif;ketahanan harga segitu wajar;harga positif;harga 0
jual ginjal dulu apa ya buat beli ip 11 pro;harga negatif;jual ginjal beli;general positif;general 0
nabung berapa tahun ya buat beli ip 11;harga negatif;nabung beli;general positif;general 0
bikin dompet kering nih beli iphone;harga negatif;dompet kering beli;general negatif;general -1
sumpah ya mahal banget harganya;harga negatif;mahal harganya;harga negatif;harga -2
udah minder duluan nih lihat harganya;harga negatif;udah minder duluan lihat harganya;harga positif;harga 0
harganya tinggi banget udah deh liat ulasannya aja;harga negatif;harganya udah deh liat ulasannya;harga positif;harga 0
ga turun turun nih harganya iphone tetap aja tinggi;harga negatif;tidak turun turun harganya;harga negatif;harga -1
mau nangis aja deh liat harganya;harga negatif;suka deh liat harganya;harga positif;harga 0
Kamera iphone 11 sedikit lebih bagus dibanding pesaingnya dan untuk kualitas hasil jepretannya juga oke;Kamera positif;kamera sedikit lebih bagus dibanding pesaingnya kualitas hasil jepretannya oke;kamera positif;kamera 0
Ngga suka sekali warna merah buat iphone 11;General negatif;ngga suka warna merah;general positif;general 0
Baterai iphone x dan 11 ngga ada bedanya, sangat boros;Baterai negatif;baterai ngga bedanya boros;baterai negatif;baterai -1
Sangat lucu yang warna kuning, jadi pengen beli iphone 11;General positif;bagus warna kuning pengen beli;general positif;general 1
Dari segi harga emang keduanya sama mahalnya tapi kualitas kamera tetep ip 11 dihati;Harga negatif, kamera positif;segi harga mahalnya kualitas kamera tetep dihati;harga positif,kamera positif;harga 0,kamera 0
Hasil jepretan kamera iphone X biasa aja;Kamera negatif;hasil jepretan kamera biasa;kamera negatif;kamera -1
Spek ip X dan 11 ngga beda jauh, biasa aja ngga terlalu hebat;Spesifikasi negatif;spek ngga beda biasa ngga hebat;general positif;general 0
Nyesel buru-buru beli iphone X yang akhirnya spesifikasinya sama aja kayak iphone 11 wkwk;Spesifikasi negatif;nyesel buru buru beli spesifikasinya kayak;general negatif;general -1
Charger iphone dari dulu ngga pernah awet, selalu mudah rusak;Baterai negatif;charger ngga awet mudah rusak;baterai positif;baterai 0
Daya tahan baterai iphone 11 sedikit lebih baik dibanding ip X;Baterai positif;daya tahan baterai sedikit lebih dibanding;baterai negatif;baterai -1
Ukuran iphone 11 besar banget untuk ditangan, agak kurang nyaman;General negatif;ukuran ditangan agak kurang nyaman;general positif;general 0
Harga oke lah untuk iphone 11 masih masuk sama isi kantong;Harga positif;harga oke masuk isi kantong;harga positif;harga 0
Iphone 11 varian warnanya lebih banyak dibanding iphone X, kayaknya beli ip 11 aja deh lebih layak;General positif;varian warnanya lebih dibanding kayaknya beli deh lebih layak;general positif;general 1
Iphone X ngga kalah keren kok sama iphone 11 dari segi kamera dan spesifikasi;Kamera positif, spesifikasi positif;ngga kalah keren segi kamera spesifikasi;kamera positif;kamera 0
Speaker iphone X kenapa jelek banget ya kayak agak mendelep gitu;General negatif;speaker jelek kayak agak mendelep;general negatif;general -1
Hasil video di iphone 11 bagus banget. Suka banget parah;Kamera positif;hasil video bagus suka parah;kamera positif;kamera 0
Kecepatan charging iphone 11 lebih cepat dibanding ip X, padahal casannya sama aja. Tapi okelah...;Baterai positif;kecepatan charger lebih cepat dibanding casannya okelah;baterai positif;baterai 1
Desain kamera iphone 11 kenapa begitu sih, cuma 2 aja tapi dikotakin jadi keliatan aneh;Kamera negatif;desain kamera cuma dikotakin keliatan aneh;general positif,kamera positif;general 0,kamera 0
Iphone 11 iOS nya terbaru, ngga sabar nunggu keluar. Udah liat previewnya, bagus sangat.;Spesifikasi positif;ios terbaru ngga sabar nunggu keluar udah liat previewnya bagus;spesifikasi positif;spesifikasi 1
RAM ip 11 lebih oke 1 Gb dibanding ip X, langsung gas beli;Spesifikasi positif;ram lebih oke gb dibanding langsung gas beli;spesifikasi positif;spesifikasi 0
Coba kamera iphonne 11 buat pertama kali ternyata night mode keren banget hasilnya terang lebih terang dari iphone x;kamera positif;coba kamera iphonne night mode keren hasilnya terang lebih terang;kamera positif;kamera 3
gila night mode iphone 11 ga abis pikir keren abis;kamera positif;night mode tidak abis pikir keren abis;general positif;general 0
pake iphone 11 sekarang ga perlu lagi dong susah-susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang wkwk;kamera positif;tidak susah susah cari terang poto lo poto segelapa hasilnya terang;general negatif;general -1
hari ini mau keluar buat beli sayur sekalian coba kamera hp baru ku dan ternyata hasilnya ga mengecewakan;kamera positif;keluar beli sayur coba kamera ku hasilnya tidak mengecewakan;kamera negatif;kamera -1
gambar jepretan ip 11 pro resolusinya ga main-main;kamera positif;gambar jepretan resolusinya tidak main main;kamera negatif;kamera -1
pake ip 11 pro backlight selfie bisa jadi bagus;kamera positif;backlight foto bisa bagus;kamera positif;kamera 1
hasil poto kamera ip 11 pro ga kalah sama dslr bro;kamera positif;hasil poto kamera tidak kalah dslr;kamera negatif;kamera -2
saya terkesan dengan hasil night mode ip 11;kamera positif;terkesan hasil night mode;general positif;general 0
harganya mahal sih tapi ga apa-apa kameranya emang juara;kamera positif, harga negatif;harganya mahal tidak kameranya juara;harga negatif,kamera positif;harga -3,kamera 1
keluar malem pengen coba night mode ip 11 pro hasilnya cakep banget;kamera positif;keluar malem pengen coba night mode hasilnya bagus;general positif;general 0
ternyata kameranya ga sebagus yang orang bilang tuh;kamera negatif;kameranya tidak sebagus orang bilang tuh;kamera negatif;kamera -1
hasil potonya ga sebanding sama harganya;kamera negatif;hasil potonya tidak sebanding harganya;harga negatif;harga -2
kalo emang incer hp ip 11 pro cuma buat kameranya sih mending beli dslr sekalian lebih bagus;kamera negatif;incer cuma kameranya lebih beli dslr lebih bagus;kamera positif;kamera 1
selfie kameranya ga bagus buat di tempat gelap;kamera negatif;foto kameranya tidak bagus gelap;kamera negatif;kamera -2
biasa aja tuh kameranya;kamera negatif;biasa tuh kameranya;kamera negatif;kamera -1
kok gue ga ngerasa ada perbedaan yang signifikan buat kualitas kameranya;kamera negatif;gue tidak ngerasa perbedaan signifikan kualitas kameranya;kamera positif;kamera 0
kualitas kameranya ga sebanding harga;kamera negatif;kualitas kameranya tidak sebanding harga;kamera negatif,harga positif;kamera -2,harga 0
ga wow banget kameranya ah, lebay;kamera negatif;tidak wow kameranya ah lebay;kamera positif;kamera 1
kurang bagus sih kameranya, kalau diliat dari harganya yang mahal ga setimpal banget;kamera negatif, harga negatif;kurang bagus kameranya diliat harganya mahal tidak setimpal;harga negatif,kamera positif;harga -3,kamera 0
penempatan kameranya bikin jelek, aneh gitu jadinya liatnya;kamera negatif;penempatan kameranya jelek aneh liatnya;kamera negatif;kamera -1
gila ip 11 beneran fast charging 30 menit doang langsung full tuh;baterai positif;beneran cepat charger menit langsung full tuh;baterai positif;baterai 1
baterai ip 11 paling bagus sih dari ip seris yang lain;baterai positif;baterai bagus seris;baterai positif;baterai 1
baterai nya tahan lama banget nonton video berjam-jam tetap awet;baterai positif;baterai tahan nonton video berjam jam awet;baterai positif,kamera positif;baterai 0,kamera 0
Sudah menggunakan 11 selama 2 bulan sekarang, saya rasa baterainya sangat bagus.;baterai positif;baterainya bagus;baterai positif;baterai 1
Saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam, dan sejauh ini kesehatan baterai masih 100%.;baterai positif;kebiasaan mengisi daya ponsel malam kesehatan baterai;baterai negatif;baterai -1
aku biasa main hp dari jam 9 pagi dan sampai jam 11 malem bahkan baterainya ga habis sampai 50 persen;baterai positif;biasa main jam pagi jam malem baterainya tidak habis persen;baterai negatif;baterai -1
baterainya awet banget bisa dipake seharian, ga perlu lagi tuh bawa charger kemana-mana;baterai positif;baterainya awet bisa seharian tidak tuh bawa charger kemana;baterai negatif;baterai -1
ip 11 baterai than lama sih;baterai positif;baterai;baterai positif;baterai 0
waktu isi daya baterainya ip 11 lebih cepet dari ip x;baterai positif;waktu isi daya baterainya lebih cepat;baterai positif;baterai 2
baterainya awet dipake streaming lama lama haha;baterai positif;baterainya awet streaming;baterai positif;baterai 0
Apple bilang iPhone 11 iPhone 11 Pro dan iPhone 11 Pro Max memiliki masa pakai baterai sehari tapi tidak juga tuh masa pakai baterai saya kurang dari 24 jam.;baterai negatif;bilang memiliki pakai baterai sehari tidak tuh pakai baterai kurang jam;baterai negatif;baterai -1
waktu isi daya baterai sampai penuh lama juga;baterai negatif;waktu isi daya baterai penuh;baterai positif;baterai 0
baterainya masih lebih awet yang ip 8 tuh daripada ip 11;baterai negatif;baterainya lebih awet tuh;baterai positif;baterai 0
daya tahan baterainya masih jelek, kalah sama samsung;baterai negatif;daya tahan baterainya jelek kalah samsung;baterai negatif;baterai -2
aku ga ngerasa baterai hp ip 11 ini lebih awet dari ip seris lain sih, malah lebih boros;baterai negatif;tidak ngerasa baterai lebih awet seris malah lebih boros;baterai negatif;baterai -1
baterainya ga tahan dipakai buat seharian harus isi ulang mulu;baterai negatif;baterainya tidak tahan dipakai seharian harus isi ulang mulu;baterai negatif;baterai -2
dipake buat nge game ga tahan sih baterainya;baterai negatif;nge game tidak tahan baterainya;baterai negatif;baterai -1
ga kuat sih baterainya kalau dipake seharian;baterai negatif;tidak kuat baterainya seharian;baterai negatif;baterai -2
