Tweet;Tweet_Parsed;True_Label;Pred_Label
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai mah ini dalam akan dimasukan di dalam    meskipun kapasitas baterai  tidak pernah mencapai mah ketahanan baterai  sejak seri  tidak boleh disangkal bahkan mampu bersaing dengan huawei mate   mempunyai kapasitas baterai mah ;baterai positif;baterai negatif
IPHONE 11 GUE GAK BOLEH DIPAKE MAIN RP ANJRIT.; gue tidak boleh digunakan main rp  ;general negatif;general positif
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104ÃÂ Ã¢â¬Â¦;  chargernya masih watt ;baterai negatif;baterai positif
"Sejak p10 sebenernya sdh gak kekejar sama iphone, tp sejak iphone 11 pro sptnya apple sdh mulai mau ngejar sih secara kualitas foto kalau dicetak.
Jeleknya kalau skrg jalan2 jadi males bawa kamera beneran, karena kamera hpku sdh pada bisa diandalkanÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸ËÂ";sejak p sebenarnya sudah tidak kekejar sama  tapi sejak   sepertinya  sudah mulai mau raih  secara kualitas foto kalau dicetak jeleknya kalau sekarang jalan jadi malas bawa kamera beneran karena kamera hpku sudah pada bisa diandalkan ;kamera positif;kamera negatif
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃÂ  #LatestNews #OS #apple #iOS #iphone11;perbarui ios pengguna  keluhkan membuat baterai turun latestnews os  ios  ;baterai negatif;spesifikasi negatif,baterai positif
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-ÃÂ Ã¢â¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;  meluncurkan  dengan peningkatan daya tahan baterai keluhkan perbarui ios kuras baterai ponsel  ;baterai positif,spesifikasi negatif,baterai negatif;baterai positif,spesifikasi positif
Iphone 11 warna mintÃ°Å¸ËÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËÂ­Ã°Å¸ËÂ­; warna mint mohon mau sekali atau tidak  ungu ;general positif;general negatif
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;  tapi soal baterai bener jauh lebih irit  kenaikan perfoma dari   ke  ;baterai positif,spesifikasi positif;baterai negatif
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;alasan kenapa harus beli   jelas bukan karna gaya gayaan tapi buat menunjang kerjaan sekali  fitur potretnya membuat suka gambar belum di edit ;kamera positif;kamera negatif
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸ËâÃ°Å¸Ëâ tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëâ¹Ã°Å¸Ëâ¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";cinematic video   pengalaman unik saat buat video ini tidak ada persiapan baterai juga tinggal tapi lumayan lah bisa nandingin miroles saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini makemac shootoniphone ;kamera positif,baterai positif;kamera positif,baterai negatif
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;multitasking halus tapi layar   sekalipun saya  uji masih tidak halus;general negatif;general positif
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;dari lalu aku pakai  s ini sekarang baterainya udah ngedrop sekali dari ke cuman tahan menit liat harga    udah mulai turun memang inilah saatnya aku harus beli power bank ;baterai negatif,harga positif;baterai positif,harga positif
iphone 11 pro dipegang park haejin jadi kaya kecil bangett  pic.twitter.com/DLw5NdEgau;  dipegang park haejin jadi kaya kecil sekali ;general negatif;general positif
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone"; buat pengguna  tidak suka ganti ganti  tiap tahun baterai juga lebih awet ;baterai positif;baterai negatif
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â¬Ëno serviceÃ¢â¬â¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;assalam admin saya pakai  dan pakai terbaru ios tapi dalam sehari pasti sekali atau dua sekali line saya akan hilang lalu kemudian muncul no service setelah sec seperti dia ok balik saya  coba semua solusi dengan  mendukung tapi  jadi jadi mana  admin xaviernaxa;spesifikasi negatif;spesifikasi positif
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;multitasking halus tapi layar   sekalipun saya  uji masih tidak halus;general negatif;general positif
Iphone 11 kameranya gaada obat; kameranya tidak lawan;kamera positif;kamera negatif
Terus juga banyak yg blg iphone 11 itu kamera depannya kurang. Coba aja cari di youtube bnyak yg bahas.;terus juga banyak  bicara  itu kamera depannya kurang coba  cari di youtube banyak  bahas ;kamera negatif;kamera positif
spesifikasi semuanya sih worth it sih tergantung kemampuan duit masing masing. Cuma kalau ngurusin kamera saat low-light mungkin iPhone 11 lebih baik.;spesifikasi semuanya  sebanding it  tergantung kemampuan uang masing masing cuma kalau ngurusin kamera saat kecil light mungkin  lebih baik ;kamera positif;spesifikasi positif,kamera positif
WARNA BIRU BUAT SIS KELIRU Ã°Å¸Â¤Â¯ CANTIK KAN IPHONE 11 ? NAKKAN IPHONE YG harga MURAH N ORIGINAL ? BELI SEKARANG DI @waynegadgett . SELLER PERAMAH N BERKOMITED MEMASTIKAN IPHONE HAMPA CLEAR DARI SEBARANG VIRUSÃ¢ÂâÃ¢Ââ pic.twitter.com/evRYfyTuuM;warna biru buat  keliru cantik kan  nakkan   harga murah n original beli sekarang di waynegadgett seller peramah n berkomited memastikan  hampa bersih dari sebarang virus ;general positif,harga positif;harga positif,general positif
"Pengen banget ganti iphone ke iphone 11 pro max

Tapi kok sayang banget duitnya yah keadaan masih kek gini..

Musti gimana yah biar bisa dapet pemasukan tambahan..?? Ada yang punya ide kah..?? Ã¢â¬â Buat bisnis  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM7CADDPY3R73OLBX7D7SLNZN62UYY2Z2JFREM2RZ3KK3PYEIBJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSXYKHYE3DKHNFMLBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ====ÃÂ Ã¢â¬Â¦"; menginginkan sekali ganti  ke    tapi kok sayang sekali duitnya  keadaan masih seperti seperti harus gimana  biar bisa dapet pemasukan tambahan ada  punya ide  buat bisnis ;harga negatif;general positif
"prefer iphone 11 sbb future proof, battery pun tahan sehari, ada 2 camera belakang, and chipset dia antara the best in the market

Ip X boleh je but banyak masalah sbb first model iphone yg fullscreen

ip xr pun ok tapi kekurangan, screen tak secantik ip 11 dan 1 camera belakang";prefer  karena future proof baterai  tahan sehari ada kamera belakang dan chipset dia antara  baik in  pasar   boleh je but banyak masalah karena pertama model   fullscreen  xr  ok tapi kekurangan layar tidak cantik  dan kamera belakang;spesifikasi positif,baterai positif,kamera positif,general negatif;baterai positif,kamera positif,spesifikasi positif,general positif
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar."; dan   juga berkemungkinan akan melalui situasi  sama   menggunakan spesifikasi terkini termasuklah layar oled serta menyokong telephoto berbanding  menyokong kamera lebar dan ultra lebar ;spesifikasi positif,kamera positif;spesifikasi positif,general positif,kamera positif
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;saya mencadangkan kepadanya   atas faktor tersebut walaupun saya akui  hadir dengan chipset pemprosesan  lebih memiliki serta mungkin ada  berminat kepada kamera ultra lebar ;spesifikasi positif,kamera positif;spesifikasi negatif,kamera positif
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;tidak sama  akan menggunakan chip baru dan layar layar oled tidak seperti  led layar;spesifikasi positif,general positif;spesifikasi negatif,general positif
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;dan hopefully harga   akan kurang karena dia tidak datang dengan charger also ada peluang untuk  turunkan lagi harga  karena dia  jimat banyak it is possible karena harga asal  sendiri  lebih murah dari  xr sedangkan  is lebih baik ;harga positif;harga negatif,baterai positif
A. iphone 11 kalau dijual bisa belanja di shopee  lagi #ShopeeID #ShopeeDariRumah;a  kalau dijual bisa belanja di  lagi  ;harga negatif;general positif
Tiba tiba rasa tak menyesal beli iphone 11  https://twitter.com/myappledotmy/status/1278259691236159491ÃÂ Ã¢â¬Â¦;tiba tiba rasa tidak menyesal beli  ;general positif;general negatif
Sebenernya aneh kamera iphone 11 kaya android ih smooth gt:(;sebenarnya aneh kamera  kaya android  halus begitu ;kamera negatif;kamera positif
sistem operasinya sangat lancar anti lemot;sistem operasinya sangat lancar anti lambat;spesifikasi positif;spesifikasi negatif
kualitas gambar yang jernih membuat para pengguna tidak pernah kecewa membelinya;kualitas gambar  jernih membuat para pengguna tidak pernah kecewa membelinya;kamera positif;kamera negatif
iphone X memiliki ukuran layar 5,8 inchi yang membuat pengguna tidak bosan melihatnya;  memiliki ukuran layar inchi  membuat pengguna tidak bosan melihatnya;general positif;general negatif
ukuran kamera depan 7MP dan kamera belakang 12 MP sangat cocok dengan harga yang ditetapkan;ukuran kamera depan mp dan kamera belakang mp sangat cocok dengan harga  ditetapkan;kamera positif,harga positif;kamera positif,general positif,harga positif
Iphone X tidak memiliki fitur pemindai sidik jari yang dianggap jauh lebih cepat dan mudah sehingga banyak pengguna yang kecewa;  tidak memiliki fitur pemindai sidik jari  dianggap jauh lebih cepat dan mudah sehingga banyak pengguna  kecewa;general negatif;general positif
resolusi gambar dan video yang dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;resolusi gambar dan video  dihasilkan sangat bagus sehingga ketika di zoom tidak pecah;kamera positif;kamera negatif
pantas di kantong nih hp nya jadi gak ribet bawa tas;pantas di kantong    jadi tidak ribet bawa tas;general positif;general negatif
fitur-fitur kameranya bikin hasil foto cantik banget deh;fitur fitur kameranya membuat hasil foto cantik sekali ;kamera positif;kamera negatif
IOS nya selalu update yang terbaru nih, jangan takut ketinggalan IOS;ios  selalu perbarui  terbaru  jangan takut ketinggalan ios;spesifikasi positif;spesifikasi negatif
jalan-jalan makin puas nih karena bisa dapatin foto-foto yang bagus;jalan jalan makin puas  karena bisa dapatin foto foto  bagus;kamera positif;kamera negatif
spesifikasi iphone 11 Pro memang sangat baik jadi wajar harganya pun relatif tinggi;spesifikasi   memang sangat baik jadi wajar harganya  relatif tinggi;spesifikasi positif,harga negatif;spesifikasi positif,harga positif
terkadang kapasitas baterai turun drastis ketika memperbarui IOS;terkadang kapasitas baterai turun drastis ketika memperbarui ios;baterai negatif;baterai negatif,spesifikasi positif
aplikasi di iphone rata-rata banyak berbayar;aplikasi di  rata rata banyak berbayar;general negatif;general positif
kecerahan dari kamera kadang suka tidak stabil;kecerahan dari kamera kadang suka tidak stabil;kamera negatif;kamera positif
banyak yang komen kamera 3 nya kayak kompor ih;banyak  komen kamera  kayak kompor ;kamera negatif;kamera positif
hasil foto malam hari ga terlihat bagus;hasil foto malam hari tidak terlihat bagus;kamera negatif;kamera positif
efeknya gabisa nutupin jerawat nih;efeknya gabisa nutupin jerawat ;kamera negatif;general negatif
udah kayak minuman boba aja tu kamera banyak bener;udah kayak minuman boba  itu kamera banyak benar;kamera negatif;kamera positif
ga perlu bawa casan kemana mana deh, baterai nya tahan banget;tidak perlu bawa casan kemana mana  baterai  tahan sekali;baterai positif;baterai negatif
sumpah ya awet bener seharian gila;  awet benar seharian sekali;baterai positif;general positif
ga nyesel sumpah beli iphone, baterai nya bisa nonton youtube seharian;tidak menyesal  beli  baterai  bisa nonton youtube seharian;baterai positif;baterai negatif
ngecas nya ga perlu waktu lama loh;charge  tidak perlu waktu lama loh;baterai positif;baterai negatif
sumpah ya baru main sejam udah habis aja ini baterai;  baru main sejam udah habis  ini baterai;baterai negatif;baterai positif
ngedit video tiktok cuman bisa 1 nih kalau kayak gini baterainya;ngedit video tiktok cuman bisa  kalau kayak seperti baterainya;baterai negatif;kamera positif,baterai positif
ini hp atau apa dah besar banget ukurannya;ini  atau apa  besar sekali ukurannya;general negatif;general positif
capek juga genggam hp segede ini;capek juga genggam  segede ini;general negatif;general positif
sumpah ini mah kalau main game anti lemot wkwk sistem operasinya lancar banget; ini mah kalau main game anti lambat  sistem operasinya lancar sekali;spesifikasi positif;baterai negatif,spesifikasi positif
makin kesini kinerja dan sistem operasinya makin baik dah;makin kesini kinerja dan sistem operasinya makin baik ;spesifikasi positif;spesifikasi negatif
sayang ini RAM nya hanya 3GB;sayang ini ram  hanya gb;spesifikasi negatif;spesifikasi positif
kadang IOS nya suka ngefek ga baik buat aplikasinya;kadang ios  suka ngefek tidak baik buat aplikasinya;spesifikasi negatif;spesifikasi positif
fitur-fiturnya banyak diganti nih jadi agak ribet;fitur fiturnya banyak diganti  jadi agak ribet;general negatif;general positif
belum 5g nih, masih aja 4g;belum g  masih  g;general negatif;general positif
dijamin gabakal nyesel deh beli iphone dengan harga segitu;dijamin gabakal menyesal  beli  dengan harga segitu;harga positif;harga negatif
wajar sih harga nya segitu karena pemakaiannya dalam jangka lama;wajar  harga  segitu karena pemakaiannya dalam jangka lama;harga positif;harga negatif
harga segitu buat iphone mah ga mahal;harga segitu buat  mah tidak mahal;harga positif;baterai negatif,harga negatif
sumpah udah berapa kali beli ga pernah nyesel sama harga segitu; udah berapa sekali beli tidak pernah menyesal sama harga segitu;harga positif;harga negatif
ketahanan lama untuk harga segitu wajar banget;ketahanan lama untuk harga segitu wajar sekali;harga positif;harga negatif
jual ginjal dulu apa ya buat beli ip 11 pro;jual ginjal dulu apa  buat beli  ;harga negatif;general positif
nabung berapa tahun ya buat beli ip 11;nabung berapa tahun  buat beli  ;harga negatif;general positif
bikin dompet kering nih beli iphone;membuat dompet kering  beli ;harga negatif;general negatif
udah minder duluan nih lihat harganya;udah minder duluan  lihat harganya;harga negatif;harga positif
harganya tinggi banget udah deh liat ulasannya aja;harganya tinggi sekali udah  liat ulasannya ;harga negatif;harga positif
mau nangis aja deh liat harganya;mau suka   liat harganya;harga negatif;harga positif
Ngga suka sekali warna merah buat iphone 11;ngga suka sekali warna merah buat  ;general negatif;general positif
Dari segi harga emang keduanya sama mahalnya tapi kualitas kamera tetep ip 11 dihati;dari segi harga memang keduanya sama mahalnya tapi kualitas kamera tetep  dihati;harga negatif,kamera positif;harga positif,kamera positif
Charger iphone dari dulu ngga pernah awet, selalu mudah rusak;charger  dari dulu ngga pernah awet selalu mudah rusak;baterai negatif;baterai positif
Ukuran iphone 11 besar banget untuk ditangan, agak kurang nyaman;ukuran  besar sekali untuk ditangan agak kurang nyaman;general negatif;general positif
Desain kamera iphone 11 kenapa begitu sih, cuma 2 aja tapi dikotakin jadi keliatan aneh;desain kamera  kenapa begitu  cuma  tapi dikotakin jadi keliatan aneh;kamera negatif;general positif,kamera positif
gila night mode iphone 11 ga abis pikir keren abis;sekali night mode  tidak abis pikir keren abis;kamera positif;general positif
pake iphone 11 sekarang ga perlu lagi dong susah-susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang wkwk;menggunakan  sekarang tidak perlu lagi  susah susah cari tempat terang buat poto lo mau poto di tempat segelapa apa juga hasilnya jadi terang ;kamera positif;general negatif
hari ini mau keluar buat beli sayur sekalian coba kamera hp baru ku dan ternyata hasilnya ga mengecewakan;hari ini mau keluar buat beli sayur sekalian coba kamera  baru ku dan ternyata hasilnya tidak mengecewakan;kamera positif;kamera negatif
gambar jepretan ip 11 pro resolusinya ga main-main;gambar jepretan   resolusinya tidak main main;kamera positif;kamera negatif
hasil poto kamera ip 11 pro ga kalah sama dslr bro;hasil poto kamera   tidak kalah sama dslr ;kamera positif;kamera negatif
saya terkesan dengan hasil night mode ip 11;saya terkesan dengan hasil night mode  ;kamera positif;general positif
harganya mahal sih tapi ga apa-apa kameranya emang juara;harganya mahal  tapi tidak apa apa kameranya memang juara;kamera positif,harga negatif;harga negatif,kamera positif
keluar malem pengen coba night mode ip 11 pro hasilnya cakep banget;keluar malem menginginkan coba night mode   hasilnya bagus sekali;kamera positif;general positif
hasil potonya ga sebanding sama harganya;hasil potonya tidak sebanding sama harganya;kamera negatif;harga negatif
kalo emang incer hp ip 11 pro cuma buat kameranya sih mending beli dslr sekalian lebih bagus;kalau memang incer    cuma buat kameranya  lebih baik beli dslr sekalian lebih bagus;kamera negatif;kamera positif
kok gue ga ngerasa ada perbedaan yang signifikan buat kualitas kameranya;kok gue tidak ngerasa ada perbedaan  signifikan buat kualitas kameranya;kamera negatif;kamera positif
kualitas kameranya ga sebanding harga;kualitas kameranya tidak sebanding harga;kamera negatif;kamera negatif,harga positif
ga wow banget kameranya ah, lebay;tidak wow sekali kameranya ah lebay;kamera negatif;kamera positif
kurang bagus sih kameranya, kalau diliat dari harganya yang mahal ga setimpal banget;kurang bagus  kameranya kalau diliat dari harganya  mahal tidak setimpal sekali;kamera negatif,harga negatif;harga negatif,kamera positif
baterai nya tahan lama banget nonton video berjam-jam tetap awet;baterai  tahan lama sekali nonton video berjam jam tetap awet;baterai positif;kamera positif,baterai positif
Saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam, dan sejauh ini kesehatan baterai masih 100%.;saya punya kebiasaan untuk mengisi daya ponsel sepanjang malam dan sejauh ini kesehatan baterai masih ;baterai positif;baterai negatif
aku biasa main hp dari jam 9 pagi dan sampai jam 11 malem bahkan baterainya ga habis sampai 50 persen;aku biasa main  dari jam pagi dan sampai jam malem bahkan baterainya tidak habis sampai persen;baterai positif;baterai negatif
baterainya awet banget bisa dipake seharian, ga perlu lagi tuh bawa charger kemana-mana;baterainya awet sekali bisa digunakan seharian tidak perlu lagi tuh bawa charger kemana mana;baterai positif;baterai negatif
ip 11 baterai than lama sih; baterai than lama ;baterai positif;baterai negatif
baterainya awet dipake streaming lama lama haha;baterainya awet digunakan streaming lama lama ;baterai positif;baterai negatif
baterainya masih lebih awet yang ip 8 tuh daripada ip 11;baterainya masih lebih awet   tuh daripada  ;baterai negatif;baterai positif
dipake buat nge game ga tahan sih baterainya;digunakan buat nge game tidak tahan  baterainya;baterai negatif;baterai positif
cepet abis baterainya;cepat abis baterainya;baterai negatif;baterai positif
buat spesifikasinya yang keren banget harga ip 11 masih terjangkau si;buat spesifikasinya  keren sekali harga  masih terjangkau ;harga positif;spesifikasi positif,harga positif
bole sih harga segitu, emang spesifikasi hp nya bagus juga;bole  harga segitu memang spesifikasi   bagus juga;harga positif,spesifikasi positif;spesifikasi positif,harga positif
harganya masuk akal kok ga mahal, ip kan harganya rata-rata memang segitu;harganya masuk akal kok tidak mahal  kan harganya rata rata memang segitu;harga positif;harga negatif
murah lah segitu mah, secara kan dolar emang mahal di indo;murah lah segitu mah secara kan dolar memang mahal di indo;harga positif;harga negatif,baterai positif
ternyata ip 11 murah, kiarain bakal lebih mahal lagi harganya wkwk;ternyata  murah kiarain bakal lebih mahal lagi harganya ;harga positif;harga negatif
ga mahal sih menurutku secara ada kualitas ada harga;tidak mahal  menurutku secara ada kualitas ada harga;harga positif;harga negatif
harga iphone 11 murah kok, gue beli ga nyampe 10 juta;harga  murah kok gue beli tidak nyampe juta;harga positif;harga negatif
kirain harganya bakalan mahal banget ternyata engga mahal kok;kirain harganya bakalan mahal sekali ternyata engga mahal kok;harga positif;harga negatif
harganya cukup murah untuk ukuran iphone keluaran terbaru;harganya cukup murah untuk ukuran  keluaran terbaru;harga positif;general positif,harga positif
hp buat sultan doang ini mah, mahal bener; buat sultan  ini mah mahal benar;harga negatif;harga negatif,baterai positif
