Tweet;label;Tweet_Parsed;sentiment;Prediksi
Knp iphone 11 aku tiba2 blank dekat sejam, smpai aku terpaksa letak dlm beras sbb dia blank dan phone jd panas lepas sejam letak dlm beras phone nyala lepastu battery habis padahal sblm padam tu battery full kot..adakah ini normal??;baterai negatif,spesifikasi negatif;mati jam paksa letak beras mati panas jam letak beras nyala baterai habis mati baterai full normal;-11;baterai negatif
Iyaaa kan. Cakep banget iPhone 11 Pro & 11 Pro Max Ã°Å¸Â¤Â©;general positif;iya bagus;-2;
"Heran iphone11 memory cepet banget abis.. 

Kebetulan lagi hobby bikin video masak.. kadang ditengah masak memori abis.. bingung dan panik makanan bisa gagal.. 

Tapi setelah liat kualitas videonya bener2 unnecessary bagus dan alus banget.. terlalu canggih buat saya..";kamera positif,general negatif;heran memori cepat abis suka video masak kadang masak memori abis bingung panik makan gagal liat kualitas video bener bagus alus canggih;1;spesifikasi netral
android baterai nya tahan lama, iphone boros kcuali iphone 11;baterai positif;android baterai tahan boros kecuali;-9;baterai negatif
"@iphonefess halo sore ka, mau nanya nih. iPhone 11 Pro Max ku kemarin kehabisan baterai, terus aku charger eh jadi lama banget. Seharian cuma masuk sekitar 40%. Lambang charging nyala, n semua normal ngga panas. Kira2 apanya ka?
Tolong dibantu ya, tks Ã°Å";baterai negatif;iphonefess halo sore ka ku kemarin habis baterai charger eh masuk lambang charger nyala n normal ngga panas ka bantu terimakasih;-4;baterai negatif
iPhone 11. Chipsetnya kenceng, layar besar dan batterynya kuat karena resolusi displaynya rendah Ã°Å¸Ëâ   https://twitter.com/GamesMenfess/status/1274142447451295745ÃÂ Ã¢â¬Â¦;baterai positif, spesifikasi positif,general positif;chipset kenceng layar baterai kuat resolusi layar rendah;-8;general negatif
"Iphone x max bagus kameranya iphone 11 jg bagus hehehe ...
Gua selfie pake hp itu cakep.

Tp gua selfie pake hp gua ini jele Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£";kamera positif;bagus kamera bagus foto bagus foto jele;0;kamera positif
iphone 11 promax kamera bgus hp bgus;kamera positif;kamera bagus bagus;-4;kamera negatif
Go for iPhone 11 and above. Samsung ni android paham2 la ahahhahah developer app selalu anak tirikan android, anak emaskan iPhone. Walaupun S20 flagship but application optimization for hardware tak seoptimum iPhone. Story ig akan tetap ada micro lag.;kamera positif,spesifikasi positif;go samsung android paham la developer aplikasi anak tiri android anak emas flagship application optimization hardware optimum story ig micro lag;-12;
pake iphone 11 kakak biar videonya makin cetar;kamera positif;kakak biar video cetar;-2;kamera netral
belilah fast charging for Iphone 11 sbb 5 watt charger yang dibekalkan amatlah slow;general negatif;bilah cepat charger watt charger masuk lambat;-2;baterai negatif
Kl aku pake seperlunya, buat medsos, foto, urusin online shop masih aman sih. Kualitas kamera jg bagus. Tp kl cari yg nilainya masih tinggi tahun2 ke depannya yaa iphone 11, kl ip x aja skrg 7 jt udh dapet.;kamera positif;media sosial foto urusin online shop aman kualitas kamera bagus cari nilai yaa jt udah dapet;13;kamera positif
yaallah tergoda iphone 11 warna biru. eh apase warna sebenere. pokok biru jareku;general positif;yaallah goda warna biru eh warna sebenere pokok biru suka;1;general netral
Haih cantiknya camera depan iphone 11 Ã°Å¸ËÅ;kamera positif;bagus kamera;-2;kamera netral
"Beli iphone 11 kemaren niat nya cuman mau beli mouse buat laptop, trus iseng nanya Ã¢â¬Åini berapa bang? Yg warna itu? Ternyata dikasih 11 pro biasa kecil ga sadar.
2hari kmudian nanya ke salesnya Ã¢â¬Åkok kecil ku mau yg max brp? Ã¢â¬ÅYdh ambil silver 256gb.

Riyalife tamat.";general negatif;beli kemaren niat cuman beli mouse laptop iseng bang warna nyata kasih sadar kmudian salesnya ku yasudah ambil silver gb riyalife tamat;-7;general negatif
iPhone 11 yang warna ungu cakep kali:( blm move on Ã°Å¸Â¥Âº;general positif;warna ungu bagus move hidup;-4;general negatif
Bateri 3687mAh ini dijangka akan dimuatkan di dalam iPhone 12 Pro Max. Meskipun kapasiti bateri iPhone tak pernah mencapai 4000mAh, ketahanan bateri iPhone sejak siri iPhone 11 tak boleh disangkal. Bahkan mampu bersaing dgn Huawei Mate 30 Pro yg mempunyai kapasiti bateri 4500mAh.  pic.twitter.com/fPTalZPXM6;baterai positif;baterai mah masuk kapasitas baterai capai mah tahan baterai seri sangkal saing huawei mate kapasitas baterai mah;-11;baterai negatif
IPHONE 11 GUE GAK BOLEH DIPAKE MAIN RP ANJRIT.;spesifikasi negatif;gue main rp;0;
iPhone 11 aja chargernya masih 5 watt  https://twitter.com/oppo/status/1282494958709039104ÃÂ Ã¢â¬Â¦;general negatif;chargernya watt;0;baterai netral
"Sejak p10 sebenernya sdh gak kekejar sama iphone, tp sejak iphone 11 pro sptnya apple sdh mulai mau ngejar sih secara kualitas foto kalau dicetak.
Jeleknya kalau skrg jalan2 jadi males bawa kamera beneran, karena kamera hpku sdh pada bisa diandalkanÃ°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸ËÂ";kamera positif;p kejar raih kualitas foto cetak jelek jalan malas bawa kamera beneran kamera hpku andal;2;kamera negatif
Update iOS, Pengguna iPhone Keluhkan Bikin Baterai Jebol  http://dlvr.it/RbRXhDÃÂ  #LatestNews #OS #apple #iOS #iphone11;baterai negatif;ios keluh baterai turun latestnews os ios;-5;spesifikasi negatif
Charge iphone 11 lambat nya minta ampooon Ã°Å¸Ëâ;general positif;charge lambat ampun;-1;baterai positif
 https://terasjabar.id/plugin/article/view/105355/apple-meluncurkan-iphone-11-dengan-peningkatan-daya-tahan-baterai-keluhkan-update-ios-13-5-1-kuras-baterai-ponsel-ÃÂ Ã¢â¬Â¦ Apple Meluncurkan iPhone 11 Dengan Peningkatan Daya Tahan Baterai, Keluhkan Update iOS 13.5.1 Kuras Baterai Ponsel #Apple #iPhone;baterai negatif;luncur tingkat daya tahan baterai keluh ios kuras baterai ponsel;-1;baterai negatif
Iphone 11 warna mintÃ°Å¸ËÂ­ plss mau bgt atau ga yg unguÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;warna mint mohon ungu;0;general netral
Iphone 11 aja Tp soal battre bener2 jauh lebih irit ip 11. Kenaikan perfoma 20% dari XS MAX ke iphone 11;baterai positif,spesifikasi positif;baterai bener irit perfoma;-1;baterai negatif
Pengen iphone 11 yg warna kuning;general positif;ken warna kuning;-3;general netral
Alasan kenapa haru beli iphone 11, yg jelas bukan karna gaya gayaan, tapi buat menunjang kerjaan. Gila sih fitur potretnya bikin nangisÃ°Å¸ËÂ­(gambar belum di edit)  pic.twitter.com/idu6XvQVNE;kamera positif;alas haru beli karna gaya gaya tunjang kerja fitur potret suka gambar edit;5;kamera positif
IPHONE 11 PRO TU- MAHAL WEH-;harga negatif;mahal weh;1;harga positif
Oh terus kalo iphone kameranya yang bisa selfie wide baru iphone 11, lu samsung aja biar kalo kita selfie bareng gampang WKWKWKWKWK;kamera positif;kamera foto wide samsung biar foto bareng gampang wkwkwkwkwk;5;kamera positif
Kabarnya #Apple akan membekali #iPhone 12 dengan baterai berkapasitas yang lebih besar dari iPhone 11 Pro Max.   https://www.tagar.id/iphone-12-akan-gendong-baterai-kapasitas-besar/?source=twitterÃÂ Ã¢â¬Â¦;baterai positif;kabar bekal baterai kapasitas;2;baterai negatif
"Cinematic video by iPhone 11

Pengalaman unik pas buat video ini tidak ada persiapan, batray juga tinggal 22% Ã°Å¸ËâÃ°Å¸Ëâ tapi lumayan lah bisa nandingin miroles Ã°Å¸Ëâ¹Ã°Å¸Ëâ¹ saya tidak pernah menggunakan alat bantu stabilizer dalam membuat video ini. @makemac #ShootoniPhone pic.twitter.com/dpu1oRopEw";baterai positif;cinematic video alam unik pas video baterai tinggal lumayan nandingin miroles alat bantu stabilizer video makemac shootoniphone;-3;kamera negatif
iphone 11 camera sampah haha kalau 11 pro, pro max okay. iphone bab video dia power, kalau bab gambar huawei power lagi.;kamera negatif;kamera sampah ok bab video power bab gambar huawei power;-9;kamera negatif
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;spesifikasi positif,general negatif;multitasking halus layar uji halus;1;general positif
Dr 2017 lalu aku pakai iphone 6s ini, skg baterainya udah ngedrop bgt, dr 100% ke 20% cuman tahan 30 menit. Liat harga iphone 11 pro yg udah mulai turun, emang inilah saatnya aku harus beli power bank.;harga positif;pakai baterai udah ngedrop cuman tahan menit liat harga udah turun beli power bank;-3;baterai negatif
iphone 11 pro dipegang park haejin jadi kaya kecil bangett  pic.twitter.com/DLw5NdEgau;general negatif;pegang park haejin kaya;-2;
iPhone 11 biar fotonya bagus *LXC*  https://twitter.com/oliviabyexxyx/status/1267809902661009411ÃÂ Ã¢â¬Â¦;kamera positif;biar foto bagus lxc;-1;kamera positif
Beda market man, jelas. Iphone 11 bukan buat fanboy, ngincer user yg baru mau masuk atau naik ke touch id less tp ga mikirin kualitas bahan sih;general negatif;beda pasar man fanboy ngincer masuk touch id less mikirin kualitas bahan;-8;
Ambil iphone 11. Saya baru tukar ke iphone SE dari Huawei P20. Battery agak mengecewakan tapi performance lain sangat superb.;baterai negatif;ambil tukar huawei p baterai kecewa tampil;-12;baterai negatif
Jd pengen iphone 11. Cakep banget gambarnya;kamera positif;ken bagus gambar;-2;kamera netral
Tergantung kebutuhan, tp kalo buat sehari2 ya pilih iphone 11 pro max ajah.;general positif;gantung butuh pilih ajah;-10;
Aku merasa hpku mulai kehilangan ketajaman kameranya. Apakah ini tandanya buat upgrade?? Ya abis beda banget bandingin sm iPhone 11 punya ponakan, bening bener dah gambarnya.;kamera positif;hpku hilang tajam kamera tanda upgrade abis beda bandingin ponakan bagus gambar;-7;kamera negatif
Iphone 11 yg ungu cute bgt astaga :');general positif;ungu cute astaga;3;
wah cantiknya camera iphone 11 Ã°Å¸âÂÃ°Å¸ââÃ°Å¸âÂ;kamera positif;bagus kamera;-2;kamera netral
nak iphone 11 warna hijau tuÃ°Å¸ËÂ­Ã°Å¸ËÂ­;general positif;warna hijau;3;general netral
"iphone 11 buat user yg ga demen gonta ganti hp tiap tahun
batre jg lebih awet iphone";baterai positif;suka ganti ganti baterai awet;3;baterai negatif
iphone 11 megapro ini selain kameranya apanya dah yang unggul? perasaan wa migrasi dari 7 ke x ga banyak kemajuan;kamera positif;megapro kamera unggul asa wa migrasi maju;1;kamera positif
kamera iphone 11 lebih jernih daripada mataku;kamera positif;kamera jernih mata;2;kamera positif
Assalam min, saya pakai Iphone 11 dan pakai latest ios. Tapi dalam sehari mesti sekali or dua kali line saya akan hilang kejap pstu muncul Ã¢â¬Ëno serviceÃ¢â¬â¢. Lepas 5 sec mcmtu , dia okay balik. Saya dah try semua solutions kat Apple Support, tapi x jadi. Mcm mna ye min ? @XavierNaxa;spesifikasi negatif;assalam admin pakai pakai ios line hilang muncul service sec ok coba solusi dukung admin xaviernaxa;9;spesifikasi positif
"Ampe ntar android jg kebagian... 

Pembedanya nanti kualitas voice record nya aja.. iPhone 11 pro dan max emang cakep hasil record nya";general positif;ampe ntar android beda kualitas voice record bagus hasil record;3;
Multitasking smooth.. tapi screen iPhone 11 pro sekalipun saya dah uji masih tak smooth;spesifikasi positif,general negatif;multitasking halus layar uji halus;1;general positif
Iyaaa iPhone 11 Purple & Green emang paling favorit sih. Cakep banget warnanya, kak Ã°Å¸Â¥Â°Ã°Å¸Â¤Â©;general positif;iya ungu hijau favorit bagus warna kak;1;general netral
Worth it bgt ni iphone11, nonton youtube puas bgt serasa nonton d tipi. Quality gambar ama speakernya bagus bgttt Ã°Å¸Ëâ Ã°Å¸Ëâ Ã°Å¸Ëâ ;kamera positif,general positif;banding nonton youtube puas serasa nonton tipi kualitas gambar speakernya bagus;4;kamera negatif
Iphone 11 kameranya gaada obat;kamera positif;kamera lawan;-3;kamera netral
Baru iphone 11 keatas yg ada pake slowmo di kamera depan;kamera positif;slowmo kamera;0;kamera netral
Iphone 11 pro max ccd banget ngentot!!!!;general positif;cacat;-5;
Terus juga banyak yg blg iphone 11 itu kamera depannya kurang. Coba aja cari di youtube bnyak yg bahas.;kamera negatif;bicara kamera coba cari youtube bahas;0;kamera negatif
Iphone 11 udah bagus kok batrenya, atau iphone XR awet batrenya;baterai positif;udah bagus baterai xr awet baterai;-4;baterai positif
Spesifikasi semuanya sih worth it sih tergantung kemampuan duit masing masing. Cuma kalau ngurusin kamera saat low-light mungkin iPhone 11 lebih baik.;kamera positif;spesifikasi banding gantung uang ngurusin kamera low light;2;kamera netral
Aku pengen iphone 11 minn biar makin cakeppp kalo mau foto produkÃ°Å¸ËÂ­Ã°Å¸ËÂ­Ã°Å¸ËÂ­ #ReaquestGAShopee;kamera positif;ken biar bagus foto produk reaquestgashopee;3;kamera positif
KAMERA IPHONE 11 KEREN PARAHHH;kamera positif;kamera keren;0;kamera netral
WARNA BIRU BUAT SIS KELIRU Ã°Å¸Â¤Â¯ CANTIK KAN IPHONE 11 ? NAKKAN IPHONE YG HARGA MURAH N ORIGINAL ? BELI SEKARANG DI @waynegadgett . SELLER PERAMAH N BERKOMITED MEMASTIKAN IPHONE HAMPA CLEAR DARI SEBARANG VIRUSÃ¢ÂâÃ¢Ââ pic.twitter.com/evRYfyTuuM;general positif;warna biru keliru cantik nak harga murah n original beli waynegadgett seller amah n berkomited hampa bersih sebarang virus;-15;general negatif
Terbaik bro ! Apa apa pun iphone 11 mmg terbaik for midrange phone Ã°Å¸Ëâ;general positif;midrange;0;
Fitur NFC di iPhone kini bisa digunakan untuk mengecek saldo hingga melakukan top-up e-money Bank Mandiri. #iPhone11 #NFC pic.twitter.com/ZHfVdQxkms;spesifikasi positif;fitur nfc ecek saldo laku top e money bank mandiri nfc;4;
"Bagi memastikan rakan saya membuat pilihan yang tepat. Perkara utama yang harus difahami adalah iPhone 11 adalah model berkelas separa mercu dan iPhone XS mercu. 

Namun iPhone 11 mempunyai kelebihan dari segi cip A13 Bionic dan dilancarkan pada tahun 2019.";spesifikasi positif;rak pilih perkara utama difahami model kelas mercu mercu segi chipset bionic lancar;-8;
"Pengen banget ganti iphone ke iphone 11 pro max

Tapi kok sayang banget duitnya yah keadaan masih kek gini..

Musti gimana yah biar bisa dapet pemasukan tambahan..?? Ada yang punya ide kah..?? Ã¢â¬â Buat bisnis  https://lap78.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM7CADDPY3R73OLBX7D7SLNZN62UYY2Z2JFREM2RZ3KK3PYEIBJQUH4DB7YEV7M2VONS5LPBQLUIORJE2YHVWSCKGPBOHXYPXKSC27R6LPZSXYKHYE3DKHNFMLBOBB6QK46PGHLYM4ZDPVJMTRQSO2OPPSIUYFB5HK5NNIJ4H3TI43KFDU4EKQ====ÃÂ Ã¢â¬Â¦";harga negatif;ken ganti sayang duit gin musti gimana biar dapet pasu ide bisnis;4;
"prefer iphone 11 sbb future proof, battery pun tahan sehari, ada 2 camera belakang, and chipset dia antara the best in the market

Ip X boleh je but banyak masalah sbb first model iphone yg fullscreen

ip xr pun ok tapi kekurangan, screen tak secantik ip 11 dan 1 camera belakang";kamera positif,spesifikasi positif;prefer future proof baterai tahan kamera chipset pasar je perrtama model fullscreen xr ok layar cantik kamera;1;baterai positif
iphone 11 bagus yg purple apa yg tosca??,,plss bantu jawab Ã°Å¸ËÆÃ°Å¸Ëâ;general positif;bagus ungu tosca mohon bantu;-3;
iphone 11 cantik2 warnanyaÃ°Å¸Â¥Âº;general positif;cantik warna;-2;general netral
Iphone 11 promax, soalnya keren banget apalagi warna warnanya menly;general positif;keren warna warna kasual;3;general netral
Bjingan buka twitter di iphone 11 tapi di safarinya ya giniÃ°Å¸â¢â;spesifikasi negatif;buka twitter safari gin;0;
Pake hape yg bagus aja. Iphone 11 Pro ato Samsung S20+ gitu. Pake mirrorless malah ga easy to use, ahaha;general positif;bagus ato samsung mirrorless easy use ahaha;-2;
"iPhone 11 dan iPhone XS juga berkemungkinan akan melalui situasi  yang sama. 

iPhone XS menggunakan spesifikasi terkini termasuklah skrin OLED serta menyokong telephoto berbanding iPhone 11 menyokong kamera lebar dan ultra lebar.";kamera positif;situasi spesifikasi masuk layar oled sokong telephoto banding sokong kamera lebar ultra lebar;6;general positif
Saya mencadangkan kepadanya iPhone XS atas faktor tersebut walaupun saya akui iPhone 11 hadir dengan cip pemprosesan yang lebih berkuasa serta mungkin ada yang berminat kepada kamera ultra lebar.;general positif,kamera positif;cadang faktor hadir chipset pemprosesan milik minat kamera ultra lebar;-3;kamera netral
Tak sama. Ip 12 akan menggunakan chip baru dan screen display OLED tidak seperti iphone 11 LED screen;spesifikasi positif,general positif;chip layar layar oled led layar;0;general netral
iphone11 emang cute bgt, pantes cewek-cewek pada beli.;general positif;cute pantes cewek cewek beli;1;
Saranku iphone xs max ajaa.. karna iphone 11 itu cuma perbaikan dari iphon xr. Kecuali iphone 11 pro/pro max. Battery ip xs max itu mAh nya lebih besar ketimbah iphone 11. Kl secara kamera iphone 11 menang lah kamera depan. Kamera blkg sama2 12MP;kamera positif,baterai positif;saran ajaa karna iphon xr kecuali baterai mah ketimbah kamera menang kamera kamera mp;-5;baterai negatif
Berikut merupakan kapasiti mAh bagi iPhone 11 iPhone 11 - 3,110 mAh iPhone 11 Pro - 3,046 mAh iPhone 11 Pro Max - 3,969 mAh Berdasarkan perbandingan ini, iPhone 11 mempunyai mAh lebih tinggi berbanding iPhone 12.;baterai positif;rupa kapasitas mah mah mah mah dasar banding mah banding;6;baterai positif
iPhone 11 kok lemot;spesifikasi negatif;lot;-5;
And hopefully harga iphone 12 pun akan kurang sebab dia tak datang dengan charger. Also ada peluang untuk Apple turunkan lagi harga iphone sebab dia dah jimat banyak. It is possible sebab harga asal iphone 11 sendiri pun lebih murah dari iphone Xr. Sedangkan iphone 11 is better.;harga positif;hopefully harga charger also peluang turun harga jimat possible harga murah xr;8;harga positif
Iphone 11 sih karena lebih pas di tangan dan kameranya tuh lebih bagus. Chipsetnya juga lebih oke dr iphone xs max;kamera positif,spesifikasi positif;pas tangan kamera tuh bagus chipset oke;4;kamera negatif
Aku sih mending yg memory besaaar. Iphone11 udah cukup bgt koook;general positif;memori udah;0;spesifikasi netral
